spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
4,9,40,0.09215,0.0919,-0.2713,1774137105000,0.09208,2410.518164,0.09207,3514.691172,0.09206,1221.13316,0.09205,1315.111369,0.09204,256.5,0.09203,256.5,0.09202,1203.293818,0.09201,256.5,0.092,1427.787076,0.09199,3498.866927,0.09212,96.452177,0.09214,256.5,0.09215,256.5,0.09217,256.5,0.09219,570.369055,0.0922,3254.502061,0.09221,1305.982738,0.09222,1254.873901,0.09223,256.5,0.09225,4352.446933,0.0919,1346.6,0.0918,65456.9,0.0917,81731.9,0.0916,87393.1,0.0915,192174,0.0914,104098.1,0.0913,64358.9,0.0912,97934.2,0.0911,58848.9,0.091,114924.7,0.092,6786,0.0921,32035.2,0.0922,19503.7,0.0923,216923,0.0924,183310.8,0.0925,139564,0.0926,89367.4,0.0927,86352,0.0928,53464.4,0.0929,66565.4,0.000062,1774137600000
4,9,40,0.09207,0.0919,-0.1846,1774137106000,0.092,2099.9975,0.09199,5544.552895,0.09198,256.5,0.09197,1305.525949,0.09195,960.955345,0.09194,3512.238238,0.09192,1510.637672,0.09191,1142.445773,0.0919,3498.866927,0.09188,1947.160706,0.09207,256.5,0.0921,1314.452302,0.09211,1077.995257,0.09212,352.952177,0.09214,1418.348546,0.09215,1305.525949,0.09216,3257.505836,0.09217,837.072127,0.09219,6467.694853,0.0922,3254.502061,0.0919,1346.6,0.0918,65456.9,0.0917,81731.9,0.0916,87393.1,0.0915,192174,0.0914,104098.1,0.0913,64358.9,0.0912,97934.2,0.0911,58848.9,0.091,114924.7,0.092,6955.6,0.0921,31630.6,0.0922,19503.7,0.0923,216923,0.0924,183310.8,0.0925,139564,0.0926,89367.4,0.0927,86352,0.0928,53464.4,0.0929,66565.4,0.000062,1774137600000
4,9,40,0.09218,0.0918,-0.4122,1774137107000,0.09213,256.5,0.09211,1408.182721,0.09209,3103.887753,0.09208,5094.311997,0.09207,1019.545761,0.09206,3515.244297,0.09205,1313.04053,0.09204,256.5,0.09203,1307.434553,0.09202,3515.244297,0.09218,256.5,0.09219,256.5,0.0922,256.5,0.09222,954.984748,0.09223,1314.433754,0.09225,814.728643,0.09226,256.5,0.09228,1431.852928,0.09229,960.712008,0.0923,9651.137235,0.0918,65456.9,0.0917,81731.9,0.0916,87393.1,0.0915,192174,0.0914,104098.1,0.0913,64358.9,0.0912,101257.3,0.0911,58848.9,0.091,114924.7,0.0909,5915.3,0.092,6955.6,0.0921,31636.6,0.0922,19503.7,0.0923,216923,0.0924,183310.8,0.0925,139564,0.0926,89367.4,0.0927,86352,0.0928,53405.1,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09217,0.0919,-0.2929,1774137108000,0.09212,256.5,0.09211,256.5,0.09209,1443.599914,0.09208,6765.8572,0.09207,256.5,0.09206,3515.244297,0.09205,256.5,0.09204,256.5,0.09203,1307.434553,0.09202,3515.244297,0.09217,276.258064,0.0922,924.973925,0.09222,954.984748,0.09223,1411.95442,0.09225,814.728643,0.09226,256.5,0.09228,2124.693991,0.09229,7472.188485,0.0923,5897.856569,0.09231,256.5,0.0918,1421.9,0.0917,92607,0.0916,87935.3,0.0915,135906.4,0.0914,109535.8,0.0913,64358.9,0.0912,147365.7,0.0911,114295.7,0.091,178542.7,0.0909,5915.3,0.0919,1502.4,0.092,21152.3,0.0921,20769.8,0.0922,19503.7,0.0923,224113,0.0924,183310.8,0.0925,139564,0.0926,89367.4,0.0927,86352,0.0928,50082,0.000062,1774137600000
4,9,40,0.0922,0.0919,-0.3254,1774137109000,0.09215,256.5,0.09214,783.7858,0.09213,783.7858,0.09212,256.5,0.09211,1249.129443,0.0921,8079.956424,0.09209,1311.0716,0.09208,256.5,0.09207,1311.0716,0.09206,1311.0716,0.09221,325.398818,0.09222,256.5,0.09223,1152.954147,0.09225,1468.36489,0.09226,3512.768316,0.09227,1310.106965,0.09228,1311.0716,0.09229,256.5,0.0923,6902.075566,0.09232,1468.36489,0.0919,1375.1,0.0918,26293.5,0.0917,81712.3,0.0916,87393.1,0.0915,141344.1,0.0914,104098.1,0.0913,64358.9,0.0912,147365.7,0.0911,114295.7,0.091,178542.7,0.092,17687.8,0.0921,20769.8,0.0922,19503.7,0.0923,243112.2,0.0924,183310.8,0.0925,139273.7,0.0926,89367.4,0.0927,80961.2,0.0928,50082,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09213,0.0919,-0.2496,1774137110000,0.09211,256.5,0.0921,1570.952302,0.09209,256.5,0.09208,3991.513793,0.09207,256.5,0.09206,256.5,0.09204,857.853571,0.09203,1811.0716,0.09202,4012.768316,0.09201,756.5,0.09213,99.407735,0.09216,256.5,0.09218,1332.945532,0.09219,1046.573166,0.09221,1023.870194,0.09222,256.5,0.09223,1215.083931,0.09225,814.728643,0.09226,3512.768316,0.09227,1308.089158,0.0919,1375.1,0.0918,31618.2,0.0917,81712.3,0.0916,131646.5,0.0915,212344.1,0.0914,104098.1,0.0913,64358.9,0.0912,147365.7,0.0911,114295.7,0.091,65173.3,0.092,6814.2,0.0921,20769.8,0.0922,19503.7,0.0923,243112.2,0.0924,183310.8,0.0925,139273.7,0.0926,89367.4,0.0927,80961.2,0.0928,50082,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09213,0.0919,-0.2496,1774137111000,0.09209,799.4,0.09208,352.51629,0.09206,4268.6,0.09204,857.853571,0.09203,1311.0716,0.09202,3512.768316,0.09201,756.5,0.092,1400.20319,0.09199,858.859982,0.09198,3511.002061,0.09213,375.665799,0.09216,987.641784,0.09218,1332.945532,0.09219,1046.573166,0.09221,1023.870194,0.09222,256.5,0.09223,1215.083931,0.09225,814.728643,0.09226,9947.471415,0.09227,891.269625,0.0919,12403.6,0.0918,20724.4,0.0917,81712.3,0.0916,131646.5,0.0915,212344.1,0.0914,104098.1,0.0913,64358.9,0.0912,147365.7,0.0911,114295.7,0.091,65091.7,0.092,169.6,0.0921,31636.3,0.0922,19503.7,0.0923,226777.6,0.0924,186045.9,0.0925,82133.4,0.0926,89367.4,0.0927,80961.2,0.0928,50082,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09213,0.0919,-0.2496,1774137112000,0.09208,352.51629,0.09204,823.548455,0.09203,1309.006185,0.09202,6770.804326,0.09201,256.5,0.092,1400.20319,0.09199,1358.859982,0.09198,3511.002061,0.09197,1309.006185,0.09195,840.386816,0.09213,375.665799,0.09216,987.641784,0.09217,3256.621797,0.09218,1332.945532,0.09219,1046.573166,0.09221,1023.870194,0.09222,3513.121797,0.09223,5482.183931,0.09225,814.728643,0.09226,3512.768316,0.0919,2071.2,0.0918,20724.4,0.0917,81175,0.0916,131646.5,0.0915,212344.1,0.0914,104098.1,0.0913,64358.9,0.0912,147365.7,0.0911,114295.7,0.091,65091.7,0.092,1544.7,0.0921,20769.8,0.0922,19503.7,0.0923,216923,0.0924,186045.9,0.0925,90266.1,0.0926,89367.4,0.0927,80961.2,0.0928,53405.1,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09215,0.0919,-0.2713,1774137113000,0.09213,1341.9,0.09212,256.5,0.09211,3653.584323,0.0921,256.5,0.09209,256.5,0.09208,1403.647897,0.09207,256.5,0.09206,756.5,0.09205,1309.073025,0.09204,1309.385454,0.09214,99.403353,0.09219,256.5,0.09221,824.36703,0.09222,256.5,0.09223,1309.385454,0.09225,1309.385454,0.09226,3512.768316,0.09227,820.718768,0.09228,256.5,0.09229,1309.385454,0.0919,91583.8,0.0918,80064.2,0.0917,124422.7,0.0916,131646.5,0.0915,135906.4,0.0914,104098.1,0.0913,64358.9,0.0912,101257.3,0.0911,114295.7,0.091,65091.7,0.092,169.6,0.0921,20769.8,0.0922,19503.7,0.0923,190451.5,0.0924,183370.4,0.0925,118453.7,0.0926,89367.4,0.0927,80961.2,0.0928,53405.1,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09214,0.0919,-0.2605,1774137114000,0.09213,256.5,0.09212,256.5,0.09211,256.5,0.0921,8823.655268,0.09209,256.5,0.09208,352.51629,0.09207,256.5,0.09206,256.5,0.09205,756.5,0.09204,256.5,0.09214,99.403353,0.09219,1320.795496,0.09221,824.36703,0.09222,256.5,0.09223,1309.385454,0.09225,1309.385454,0.09226,3512.768316,0.09227,820.718768,0.09228,256.5,0.09229,1605.340757,0.0919,1375.1,0.0918,20723.7,0.0917,126875.8,0.0916,131646.5,0.0915,135854.4,0.0914,104098.1,0.0913,64358.9,0.0912,101257.3,0.0911,114295.7,0.091,65091.7,0.092,7096.6,0.0921,20769.8,0.0922,19503.7,0.0923,190451.5,0.0924,211806.8,0.0925,90266.1,0.0926,89367.4,0.0927,80961.2,0.0928,53405.1,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09214,0.0919,-0.2605,1774137117000,0.09212,542.8,0.09211,256.5,0.0921,8088.795437,0.09209,256.5,0.09208,256.5,0.09206,256.5,0.09205,756.5,0.09204,756.5,0.09203,1307.933142,0.09202,3513.475355,0.09214,99.403353,0.09219,1320.795496,0.09221,824.36703,0.09222,256.5,0.09223,1309.385454,0.09225,1309.385454,0.09226,3512.768316,0.09227,820.718768,0.09228,5026.858878,0.09229,836.075901,0.0919,1303.4,0.0918,72851.2,0.0917,119893.4,0.0916,87393.1,0.0915,135854.4,0.0914,104098.1,0.0913,64358.9,0.0912,78906.6,0.0911,114295.7,0.091,65091.7,0.092,6489.1,0.0921,31108.3,0.0922,19503.7,0.0923,134231.3,0.0924,234864.1,0.0925,142411.6,0.0926,87485.8,0.0927,80961.2,0.0928,53405.1,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09212,0.0918,-0.3474,1774137120000,0.09205,5785.000075,0.092,809.829587,0.09199,256.5,0.09198,3511.002061,0.09195,1531.842812,0.09194,3602.221137,0.09193,2749.514158,0.09191,2407.157093,0.0919,11929.973454,0.09187,261.979178,0.09212,972.664332,0.09214,1631.246165,0.09216,1236.430461,0.09219,1320.795496,0.09221,824.36703,0.09222,256.5,0.09223,256.5,0.09224,4160.206134,0.09225,256.5,0.09226,4205.735091,0.0919,917,0.0918,72851,0.0917,119893.4,0.0916,87393.1,0.0915,135854.4,0.0914,104098.1,0.0913,64358.9,0.0912,82229.7,0.0911,114295.7,0.091,65091.7,0.092,953.7,0.0921,31110.3,0.0922,19503.7,0.0923,131696.6,0.0924,234864.1,0.0925,142411.6,0.0926,87485.8,0.0927,80961.2,0.0928,50082,0.0929,66506.1,0.000062,1774137600000
4,9,40,0.09203,0.0918,-0.2499,1774137121000,0.09199,99.370441,0.09194,89.982899,0.09193,842.462379,0.09192,4111.077518,0.0919,1078.805388,0.09189,256.5,0.09188,971.696314,0.09187,261.979178,0.09186,1032.454797,0.09185,256.5,0.09203,1396.184808,0.09205,1335.305388,0.09206,1078.805388,0.09207,3256.975355,0.09208,1316.745725,0.0921,892.902834,0.09211,5289.375127,0.09212,3256.975355,0.09213,256.5,0.09214,837.316423,0.0919,10811.5,0.0918,72851,0.0917,119893.4,0.0916,87393.1,0.0915,135854.4,0.0914,104098.1,0.0913,64358.9,0.0912,82229.7,0.0911,114295.7,0.091,65091.7,0.092,6391.4,0.0921,31110.3,0.0922,19503.7,0.0923,131696.6,0.0924,234864.1,0.0925,142411.6,0.0926,87485.8,0.0927,80961.2,0.0928,50082,0.0929,66506.1,0.000058,1774137600000
4,9,40,0.09174,0.0917,-0.0436,1774137122000,0.0916,256.5,0.09159,256.5,0.09157,1324.743335,0.09156,3527.490633,0.09155,1106.719425,0.09154,256.5,0.09152,1616.563352,0.09151,3529.822422,0.0915,1650.818625,0.09148,1280.500446,0.09171,1079.318625,0.09172,1335.818625,0.09174,256.5,0.09175,1079.318625,0.09177,1079.318625,0.09178,256.5,0.09179,4760.562916,0.09181,1125.288658,0.09182,191.46,0.09183,3529.822422,0.0919,10811.5,0.0918,61959.8,0.0917,119893.4,0.0916,87393.1,0.0915,135854.4,0.0914,104098.1,0.0913,64358.9,0.0912,82229.7,0.0911,114295.7,0.091,65091.7,0.092,6391.4,0.0921,31110.3,0.0922,19503.7,0.0923,131696.6,0.0924,234864.1,0.0925,142411.6,0.0926,87485.8,0.0927,80961.2,0.0928,50082,0.0929,66506.1,0.000058,1774137600000
4,9,40,0.0917,0.0917,0.0,1774137123000,0.09179,256.5,0.09178,256.5,0.09177,931.803263,0.09176,256.5,0.09175,5079.117759,0.09174,1243.652216,0.09173,256.5,0.09172,1155.331311,0.0917,971.756036,0.09168,933.268762,0.09189,256.5,0.0919,933.059067,0.09191,3513.475355,0.09192,97.916946,0.09193,1003.294332,0.09194,256.5,0.09195,1086.322634,0.09196,256.5,0.09197,6048.199661,0.09198,3513.475355,0.0919,705.6,0.0918,61959.8,0.0917,119893.4,0.0916,87393.1,0.0915,135854.4,0.0914,104098.1,0.0913,64358.9,0.0912,82229.7,0.0911,114295.7,0.091,65091.7,0.092,6391.4,0.0921,31114.3,0.0922,19503.7,0.0923,135517.7,0.0924,234864.1,0.0925,142411.6,0.0926,87485.8,0.0927,80961.2,0.0928,50082,0.0929,66506.1,0.000058,1774137600000
4,9,40,0.09177,0.0916,-0.1852,1774137124000,0.09163,256.5,0.09162,1206.493699,0.09161,4777.8,0.0916,3529.822422,0.09159,256.5,0.09158,899.437943,0.09157,1206.493699,0.09156,3529.822422,0.09155,1206.493699,0.09154,256.5,0.0917,256.5,0.09173,256.5,0.09175,1206.493699,0.09177,1206.493699,0.09179,881.91567,0.09181,1068.730193,0.09182,353.385631,0.09183,1206.493699,0.09184,6436.9,0.09185,966.693212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000058,1774137600000
