spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
4,9,54,0.6796,0.6788,-0.1177,1774137105000,0.6795,419.632,0.6794,1168.153,0.6793,1237.931,0.6792,2086.023,0.6791,3431.092,0.679,1822.571,0.6789,1293.917,0.6788,6441.979,0.6787,1764.176,0.6786,1459.509,0.6796,44.043,0.6797,1.501,0.6798,513.085,0.6799,869.384,0.68,3168.829,0.6801,8506.644,0.6802,2380.305,0.6803,284.716,0.6804,514.584,0.6805,1604.352,0.6788,7,0.6787,7354,0.6786,6790,0.6785,13405,0.6784,7451,0.6783,1452,0.6782,3827,0.6781,45225,0.678,91421,0.6779,120152,0.679,262,0.6791,4715,0.6792,4870,0.6793,2442,0.6794,20104,0.6795,4869,0.6796,1441,0.6797,4329,0.6798,24015,0.6799,23060,-0.000108,1774137600000
4,9,54,0.6792,0.6789,-0.0442,1774137106000,0.6791,338.688,0.6789,563.728,0.6788,1519.065,0.6787,1176.738,0.6786,3169.881,0.6785,5630.588,0.6784,2531.29,0.6783,617.906,0.6782,2250.202,0.6781,2054.535,0.6792,584.668,0.6793,1.5,0.6794,285.057,0.6795,3454.274,0.6796,1458.263,0.6797,5230.567,0.6798,4222.337,0.6799,4828.997,0.68,6168.851,0.6801,9564.035,0.679,1052,0.6789,3722,0.6788,4773,0.6787,7941,0.6786,4172,0.6785,13405,0.6784,7451,0.6783,1452,0.6782,1578,0.6781,45225,0.6791,921,0.6792,2191,0.6793,2442,0.6794,6496,0.6795,18488,0.6796,53361,0.6797,4329,0.6798,24015,0.6799,23060,0.68,3026,-0.000108,1774137600000
4,9,54,0.6796,0.6785,-0.1619,1774137107000,0.6795,1120.757,0.6794,430.62,0.6793,5894.286,0.6792,3.002,0.6791,865.108,0.679,2405.377,0.6789,2671.183,0.6788,4374.425,0.6787,300.496,0.6786,3121.748,0.6796,1.5,0.6797,1.501,0.6798,514.585,0.6799,586.168,0.68,873.255,0.6801,1950.501,0.6802,3741.295,0.6803,2261.296,0.6804,4123.469,0.6805,5106.34,0.6785,2,0.6784,937,0.6783,16,0.6782,156,0.6781,5088,0.678,91421,0.6779,120152,0.6778,1698,0.6777,6528,0.6776,100069,0.6788,1894,0.6789,6586,0.679,3511,0.6791,8103,0.6792,5717,0.6793,3461,0.6794,6496,0.6795,4869,0.6796,53361,0.6797,4329,-0.000108,1774137600000
4,9,54,0.6798,0.6789,-0.1324,1774137108000,0.6797,251.666,0.6796,547.962,0.6795,1461.943,0.6794,3034.56,0.6793,1786.438,0.6792,1151.43,0.6791,1497.313,0.679,4409.459,0.6789,414.008,0.6788,5585.749,0.6798,628.711,0.6799,1.5,0.68,1.501,0.6801,798.176,0.6802,3955.866,0.6803,2172.5,0.6804,1776.939,0.6805,3168.85,0.6806,4824.508,0.6807,7920.53,0.6784,7634,0.6783,1473,0.6782,1571,0.6781,6531,0.678,4953,0.6779,14634,0.6778,1732,0.6777,6528,0.6776,21260,0.6775,5515,0.6786,2453,0.6787,3374,0.6788,4715,0.6789,6672,0.679,3609,0.6791,4404,0.6792,5800,0.6793,35456,0.6794,5330,0.6795,3632,-0.000108,1774137600000
4,9,54,0.6798,0.679,-0.1177,1774137109000,0.6797,251.666,0.6796,545.8,0.6795,3058.77,0.6794,2548.428,0.6793,3246.626,0.6792,1883.873,0.6791,1497.313,0.679,3120.995,0.6789,591.451,0.6788,3227.673,0.6798,44.043,0.6799,1.5,0.68,1.501,0.6801,798.176,0.6802,1174.792,0.6803,2025.767,0.6804,1573.18,0.6805,3168.85,0.6806,5763.115,0.6807,7920.53,0.6785,1740,0.6784,9464,0.6783,7821,0.6782,17725,0.6781,6531,0.678,5105,0.6779,3739,0.6778,1732,0.6777,6528,0.6776,21391,0.6786,91,0.6787,2374,0.6788,4645,0.6789,20312,0.679,3609,0.6791,4404,0.6792,5800,0.6793,21827,0.6794,5330,0.6795,3632,-0.000108,1774137600000
4,9,54,0.6798,0.6789,-0.1324,1774137110000,0.6797,251.666,0.6796,30.4,0.6795,2893.69,0.6794,1963.778,0.6793,1238.305,0.6792,286.591,0.6791,2409.34,0.679,3758.575,0.6789,2203.631,0.6788,4691.694,0.6798,360.012,0.6799,586.168,0.68,544.546,0.6801,3823.91,0.6802,1174.792,0.6803,1030.945,0.6804,2066.376,0.6805,4321.75,0.6806,5559.329,0.6807,10038.346,0.6787,1799,0.6786,1617,0.6785,15587,0.6784,3381,0.6783,4012,0.6782,1571,0.6781,45238,0.678,5105,0.6779,3739,0.6778,1939,0.6788,586,0.6789,4808,0.679,1444,0.6791,4404,0.6792,18446,0.6793,22993,0.6794,6496,0.6795,3705,0.6796,53375,0.6797,4329,-0.000108,1774137600000
4,9,54,0.6796,0.6789,-0.103,1774137111000,0.6796,169.784,0.6795,1.501,0.6794,1543.136,0.6793,2559.145,0.6792,827.153,0.6791,2776.877,0.679,3120.995,0.6789,2841.211,0.6788,4658.694,0.6787,27108.521,0.6798,321.168,0.6799,586.168,0.68,542.063,0.6801,4559.229,0.6802,1174.792,0.6803,1029.007,0.6804,2114.359,0.6805,4321.75,0.6806,5559.329,0.6807,10038.346,0.6789,263,0.6788,7250,0.6787,2030,0.6786,4746,0.6785,3635,0.6784,16420,0.6783,1474,0.6782,1571,0.6781,6531,0.678,5105,0.679,332,0.6791,4719,0.6792,3634,0.6793,2608,0.6794,5496,0.6795,17356,0.6796,54527,0.6797,23717,0.6798,3632,0.6799,23085,-0.000108,1774137600000
4,9,54,0.6798,0.6788,-0.1471,1774137112000,0.6795,169.784,0.6794,1226.204,0.6793,1974.474,0.6792,602.023,0.6791,2776.877,0.679,3120.995,0.6789,2841.211,0.6788,1758.251,0.6787,27108.521,0.6786,1687.791,0.6796,584.668,0.6797,367.956,0.6798,796.934,0.6799,4025.536,0.68,3365.561,0.6801,1856.85,0.6802,1174.792,0.6803,488.445,0.6804,1991.871,0.6805,4321.75,0.6791,2454,0.679,6951,0.6789,1443,0.6788,5936,0.6787,12935,0.6786,24353,0.6785,3766,0.6784,25081,0.6783,3713,0.6782,3461,0.6793,1931,0.6794,4057,0.6795,3817,0.6796,4220,0.6797,4909,0.6798,2607,0.6799,6031,0.68,3192,0.6801,17319,0.6802,3645,-0.000108,1774137600000
4,9,54,0.6798,0.679,-0.1177,1774137113000,0.6796,85.655,0.6795,1.501,0.6794,2279.368,0.6793,1238.305,0.6792,822.529,0.6791,2945.278,0.679,3120.995,0.6789,2203.631,0.6788,4658.694,0.6787,27108.521,0.6798,278.625,0.6799,1132.168,0.68,873.845,0.6801,4237.455,0.6802,1174.792,0.6803,488.445,0.6804,2109.118,0.6805,4321.75,0.6806,5559.329,0.6807,10038.346,0.679,1302,0.6789,5098,0.6788,3634,0.6787,15236,0.6786,2443,0.6785,3634,0.6784,24658,0.6783,1474,0.6782,20892,0.6781,6614,0.6791,405,0.6792,4057,0.6793,6522,0.6794,1443,0.6795,3817,0.6796,17797,0.6797,5909,0.6798,22000,0.6799,5959,0.68,3853,-0.000108,1774137600000
4,9,54,0.6798,0.6791,-0.103,1774137114000,0.6796,102.601,0.6795,1.5,0.6794,2127.98,0.6793,1974.396,0.6792,821.09,0.6791,1478.629,0.679,3120.995,0.6789,1467.021,0.6788,5395.336,0.6787,29160.993,0.6798,446.215,0.6799,586.168,0.68,1.501,0.6801,2626.932,0.6802,1763.07,0.6803,818.026,0.6804,2310.264,0.6805,4744.314,0.6806,5559.329,0.6807,10038.346,0.679,263,0.6789,263,0.6788,6251,0.6787,15236,0.6786,2452,0.6785,3634,0.6784,24658,0.6783,1474,0.6782,20892,0.6781,6531,0.6791,405,0.6792,4055,0.6793,6521,0.6794,1443,0.6795,4817,0.6796,17797,0.6797,5909,0.6798,22000,0.6799,5959,0.68,3853,-0.000108,1774137600000
