spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
4,3,40,0.09223,0.09208,-0.1626,1774137099000,0.09218,895.058545,0.09216,1311.446681,0.09215,12093.129248,0.09214,351.145239,0.09212,256.5,0.09211,756.5,0.0921,1314.961838,0.09209,256.5,0.09208,1334.449384,0.09207,3509.414068,0.09223,352.517633,0.09226,1301.309966,0.09228,1227.483978,0.09229,256.5,0.0923,1311.446681,0.09232,817.473366,0.09233,1082.531355,0.09234,9931.50525,0.09235,5577.940018,0.09236,816.569766,0.09212,905.8,0.09211,5398.1,0.09210,12614.5,0.09209,4971.6,0.09208,2280.2,0.09207,5952.3,0.09206,8217.1,0.09205,7272.2,0.09204,5055.6,0.09203,4805.4,0.09216,1293.4,0.09217,1334.3,0.09218,3738.9,0.09219,6581.3,0.09220,2730.3,0.09221,5985.7,0.09222,3829.6,0.09223,3321.6,0.09224,2731.0,0.09225,5995.8,-0.00037784,1774137600000
4,3,40,0.09215,0.09204,-0.1194,1774137100000,0.09218,895.058545,0.09216,1311.446681,0.09215,12093.129248,0.09214,351.145239,0.09212,256.5,0.09211,756.5,0.0921,1314.961838,0.09209,256.5,0.09208,1334.449384,0.09207,3509.414068,0.09223,96.017633,0.09226,1301.309966,0.09228,1227.483978,0.09229,256.5,0.0923,1311.446681,0.09232,817.473366,0.09233,1082.531355,0.09234,9238.513847,0.09235,6270.893842,0.09236,816.569766,0.09208,1328.2,0.09207,6673.7,0.09206,2387.8,0.09205,3411.6,0.09204,2986.3,0.09203,4810.2,0.09202,5505.0,0.09201,4619.7,0.09200,7190.6,0.09199,3324.8,0.09213,905.8,0.09214,1746.5,0.09215,5125.5,0.09216,3240.4,0.09217,5979.6,0.09218,3729.8,0.09219,4333.3,0.09220,2730.3,0.09221,6050.9,0.09222,3723.5,-0.00037784,1774137600000
4,3,40,0.0922,0.09207,-0.141,1774137101000,0.09218,355.981414,0.09214,351.145239,0.09213,3955.292949,0.09212,1037.881271,0.09211,1081.777732,0.0921,256.5,0.09209,256.5,0.09208,1312.234323,0.09207,256.5,0.09205,1608.531748,0.09221,276.258064,0.09222,256.5,0.09223,354.281071,0.09226,1301.309966,0.09228,1227.483978,0.09229,1317.618498,0.0923,3510.296095,0.09231,942.964724,0.09232,5906.240888,0.09233,256.5,0.09202,1249.9,0.09201,2300.4,0.09200,3352.1,0.09199,6042.7,0.09198,3810.8,0.09197,3744.9,0.09196,5550.3,0.09195,3910.0,0.09194,5406.2,0.09193,8171.4,0.09207,1736.8,0.09208,840.1,0.09209,3239.6,0.09210,4608.0,0.09211,3488.2,0.09212,5672.9,0.09213,2721.4,0.09214,2302.0,0.09215,4479.8,0.09216,3140.8,-0.00037784,1774137600000
4,3,40,0.09221,0.09207,-0.1518,1774137102000,0.09218,355.981414,0.09214,1082.447053,0.09213,2095.89128,0.09212,1037.881271,0.09211,256.5,0.0921,1082.713159,0.09209,256.5,0.09208,1312.234323,0.09207,256.5,0.09205,1608.531748,0.0922,19.758064,0.09223,354.281071,0.09226,1301.309966,0.09228,1227.483978,0.09229,1317.618498,0.0923,3510.296095,0.09232,7822.8187,0.09233,819.121917,0.09234,3506.770855,0.09236,256.5,0.09202,905.8,0.09201,4827.3,0.09200,3645.6,0.09199,6042.7,0.09198,3810.8,0.09197,3851.0,0.09196,2983.6,0.09195,4968.5,0.09194,5406.2,0.09193,8171.4,0.09207,1736.8,0.09208,840.1,0.09209,3239.6,0.09210,3071.4,0.09211,2402.5,0.09212,2561.7,0.09213,2302.0,0.09214,2302.0,0.09215,4479.8,0.09216,3140.8,-0.00037784,1774137600000
4,3,40,0.09222,0.09207,-0.1627,1774137103000,0.09218,355.981414,0.09216,256.5,0.09215,256.5,0.09214,7589.686356,0.09213,256.5,0.09212,1037.881271,0.09211,256.5,0.0921,1082.713159,0.09209,756.5,0.09208,1026.379389,0.09222,256.5,0.09223,354.281071,0.09225,948.384523,0.09226,256.5,0.09228,1157.304563,0.09229,1317.618498,0.0923,3510.296095,0.09232,1314.52062,0.09233,7361.024561,0.09234,3506.770855,0.09203,905.8,0.09202,1415.2,0.09201,5734.6,0.09200,6363.4,0.09199,2908.8,0.09198,3810.8,0.09197,5889.2,0.09196,2983.6,0.09195,4968.5,0.09194,5406.2,0.09208,1326.5,0.09209,905.8,0.09210,2611.9,0.09211,2794.2,0.09212,2561.7,0.09213,5561.2,0.09214,3126.6,0.09215,4479.8,0.09216,2301.3,0.09217,5558.6,-0.00037784,1774137600000
4,3,40,0.09222,0.09205,-0.1843,1774137104000,0.09218,355.981414,0.09215,6434.077171,0.09214,351.145239,0.09213,5096.2,0.09212,256.5,0.09211,256.5,0.0921,256.5,0.09209,1814.768986,0.09208,1026.379389,0.09207,256.5,0.09222,256.5,0.09223,354.281071,0.09225,948.384523,0.09226,256.5,0.09228,1157.304563,0.09229,1317.618498,0.0923,3510.296095,0.09232,5317.12062,0.09233,1546.739082,0.09234,3506.770855,0.09207,539.0,0.09205,907.6,0.09204,907.6,0.09203,3272.8,0.09202,3763.8,0.09201,6140.1,0.09200,6079.6,0.09199,3316.3,0.09198,5254.6,0.09197,7894.0,0.09208,905.8,0.09209,1648.2,0.09210,1812.8,0.09211,2468.2,0.09212,3229.6,0.09213,2637.5,0.09214,2302.0,0.09215,3797.2,0.09216,3127.5,0.09217,2302.7,-0.00037784,1774137600000
4,3,40,0.09215,0.092,-0.1628,1774137105000,0.09208,2410.518164,0.09207,3514.691172,0.09206,1221.13316,0.09205,1315.111369,0.09204,256.5,0.09203,256.5,0.09202,1203.293818,0.09201,256.5,0.092,1427.787076,0.09199,3498.866927,0.09212,96.452177,0.09214,256.5,0.09215,256.5,0.09217,256.5,0.09219,570.369055,0.0922,3254.502061,0.09221,1305.982738,0.09222,1254.873901,0.09223,256.5,0.09225,4352.446933,0.09207,539.0,0.09205,2534.2,0.09204,2302.7,0.09203,3726.2,0.09202,4217.2,0.09201,3197.1,0.09200,6079.6,0.09199,4372.8,0.09198,8819.8,0.09197,11943.6,0.09210,905.8,0.09212,3749.0,0.09213,2637.5,0.09214,2302.0,0.09215,3797.2,0.09216,3127.5,0.09217,2302.7,0.09218,4135.0,0.09219,4202.6,0.09220,2722.4,-0.00037784,1774137600000
4,3,40,0.09207,0.092,-0.076,1774137106000,0.092,2099.9975,0.09199,5544.552895,0.09198,256.5,0.09197,1305.525949,0.09195,960.955345,0.09194,3512.238238,0.09192,1510.637672,0.09191,1142.445773,0.0919,3498.866927,0.09188,1947.160706,0.09207,256.5,0.0921,1314.452302,0.09211,1077.995257,0.09212,352.952177,0.09214,1418.348546,0.09215,1305.525949,0.09216,3257.505836,0.09217,837.072127,0.09219,6467.694853,0.0922,3254.502061,0.09207,539.0,0.09206,905.8,0.09205,2534.2,0.09204,2302.7,0.09203,3726.2,0.09202,4217.2,0.09201,3197.1,0.09200,6079.6,0.09199,7342.5,0.09198,13488.2,0.09211,905.8,0.09212,1414.9,0.09213,3205.9,0.09214,2302.0,0.09215,5079.6,0.09216,3127.5,0.09217,5561.9,0.09218,4135.0,0.09219,4202.6,0.09220,2722.4,-0.00037784,1774137600000
4,3,40,0.09218,0.09198,-0.217,1774137107000,0.09213,256.5,0.09211,1408.182721,0.09209,3103.887753,0.09208,5094.311997,0.09207,1019.545761,0.09206,3515.244297,0.09205,1313.04053,0.09204,256.5,0.09203,1307.434553,0.09202,3515.244297,0.09218,256.5,0.09219,256.5,0.0922,256.5,0.09222,954.984748,0.09223,1314.433754,0.09225,814.728643,0.09226,256.5,0.09228,1431.852928,0.09229,960.712008,0.0923,9651.137235,0.09206,905.8,0.09205,3848.8,0.09204,3054.1,0.09203,3726.2,0.09202,3798.1,0.09201,3197.1,0.09200,6502.3,0.09199,3316.3,0.09198,8053.0,0.09197,12137.2,0.09211,1632.1,0.09212,2494.5,0.09213,3240.8,0.09214,2302.0,0.09215,4625.0,0.09216,2720.4,0.09217,5970.6,0.09218,4135.0,0.09219,3797.1,0.09220,2722.4,-0.00037784,1774137600000
4,3,40,0.09217,0.09203,-0.1519,1774137108000,0.09212,256.5,0.09211,256.5,0.09209,1443.599914,0.09208,6765.8572,0.09207,256.5,0.09206,3515.244297,0.09205,256.5,0.09204,256.5,0.09203,1307.434553,0.09202,3515.244297,0.09217,276.258064,0.0922,924.973925,0.09222,954.984748,0.09223,1411.95442,0.09225,814.728643,0.09226,256.5,0.09228,2124.693991,0.09229,7472.188485,0.0923,5897.856569,0.09231,256.5,0.09205,905.8,0.09204,5089.5,0.09203,2218.9,0.09202,3798.1,0.09201,3594.9,0.09200,6502.3,0.09199,6359.5,0.09198,12845.9,0.09197,4152.3,0.09196,6656.0,0.09211,1632.1,0.09212,1414.9,0.09213,3240.8,0.09214,2302.0,0.09215,4625.0,0.09216,2720.4,0.09217,5970.6,0.09218,4135.0,0.09219,3797.1,0.09220,2722.4,-0.00037784,1774137600000
