spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
4,3,54,0.6811,0.6803,-0.1175,1774137099000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6805,144,0.6804,4444,0.6803,3829,0.6802,8320,0.6801,11192,0.6800,14047,0.6799,6282,0.6798,11206,0.6797,10317,0.6796,9828,0.6806,6317,0.6807,3466,0.6808,13880,0.6809,17825,0.6810,8049,0.6811,11054,0.6812,11177,0.6813,17434,0.6814,8410,0.6815,7186,-0.00000372,1774137600000
4,3,54,0.681,0.6802,-0.1175,1774137100000,0.6809,440.592,0.6808,467.102,0.6807,1678.209,0.6806,1173.496,0.6805,1158.646,0.6804,4272.879,0.6803,1749.65,0.6802,7985.926,0.6801,289.126,0.68,2397.388,0.6811,950.224,0.6812,950.816,0.6813,866.666,0.6814,3752.491,0.6815,4185.511,0.6816,10809.159,0.6817,2435.483,0.6818,1436.761,0.6819,287.128,0.682,2335.22,0.6803,407,0.6802,5082,0.6801,3416,0.6800,14556,0.6799,7896,0.6798,11206,0.6797,9259,0.6796,8544,0.6795,18635,0.6794,13393,0.6804,6192,0.6805,7323,0.6806,4711,0.6807,7351,0.6808,8435,0.6809,9900,0.6810,10515,0.6811,13436,0.6812,10320,0.6813,15612,-0.00000372,1774137600000
4,3,54,0.6804,0.6798,-0.0882,1774137101000,0.6801,2.865,0.68,2447.597,0.6799,923.19,0.6798,2146.359,0.6797,1506.728,0.6796,1964.725,0.6795,2845.152,0.6794,1752.522,0.6793,2356.779,0.6792,2053.343,0.6804,677.448,0.6805,1045.899,0.6806,1171.681,0.6807,3733.319,0.6808,9038.273,0.6809,2397.628,0.681,3572.417,0.6811,2984.04,0.6812,1869.008,0.6813,591.71,0.6802,1819,0.6801,24,0.6800,11222,0.6799,2249,0.6798,1987,0.6797,4960,0.6796,9237,0.6795,11307,0.6794,11103,0.6793,9101,0.6803,9084,0.6804,12716,0.6805,6646,0.6806,9686,0.6807,12334,0.6808,16217,0.6809,13193,0.6810,10515,0.6811,11054,0.6812,7492,-0.00000372,1774137600000
4,3,54,0.6803,0.6795,-0.1176,1774137102000,0.6801,360.145,0.68,2448.987,0.6799,923.373,0.6798,1558.766,0.6797,1506.728,0.6796,1358.586,0.6795,2105.359,0.6794,2900.922,0.6793,490.856,0.6792,2789.564,0.6803,558.197,0.6804,1778.594,0.6805,1285.136,0.6806,2702.326,0.6807,1949.689,0.6808,11151.395,0.6809,9794.216,0.681,4543.637,0.6811,1097.752,0.6812,1134.871,0.6802,349,0.6801,24,0.6800,10541,0.6799,542,0.6798,4569,0.6797,4073,0.6796,8921,0.6795,11307,0.6794,9621,0.6793,9101,0.6803,6882,0.6804,13405,0.6805,5965,0.6806,10004,0.6807,16495,0.6808,16207,0.6809,10782,0.6810,10442,0.6811,11054,0.6812,7492,-0.00000372,1774137600000
4,3,54,0.6802,0.6795,-0.1029,1774137103000,0.6802,338.688,0.6801,23.984,0.68,3813.087,0.6799,293.306,0.6798,1411.079,0.6797,1506.728,0.6796,2094.388,0.6795,1525.904,0.6794,2900.922,0.6793,622.519,0.6803,45.543,0.6804,1.5,0.6805,869.464,0.6806,1584.926,0.6807,5301.424,0.6808,9242.287,0.6809,2397.628,0.681,3809.234,0.6811,1097.752,0.6812,1134.871,0.6797,4740,0.6796,1748,0.6795,4042,0.6794,9560,0.6793,3621,0.6792,10010,0.6791,10982,0.6790,6507,0.6789,8861,0.6788,10880,0.6798,15,0.6799,27,0.6800,4414,0.6801,12845,0.6802,14887,0.6803,9345,0.6804,25481,0.6805,6475,0.6806,7401,0.6807,15665,-0.00000372,1774137600000
4,3,54,0.6801,0.6794,-0.1029,1774137104000,0.68,1788.42,0.6799,10.301,0.6798,941.574,0.6797,1506.728,0.6796,639.08,0.6795,2163.484,0.6794,1752.522,0.6793,1478.654,0.6792,3202.643,0.6791,3157.278,0.6802,1473.582,0.6803,45.543,0.6804,1726.368,0.6805,4066.715,0.6806,771.367,0.6807,5326.024,0.6808,11153.313,0.6809,3132.083,0.681,3627.04,0.6811,1097.752,0.6798,76,0.6797,2703,0.6796,2744,0.6795,3077,0.6794,3476,0.6793,7152,0.6792,9153,0.6791,9319,0.6790,6880,0.6789,10754,0.6799,6848,0.6800,14251,0.6801,13919,0.6802,14088,0.6803,7011,0.6804,18781,0.6805,6329,0.6806,7567,0.6807,16770,0.6808,16208,-0.00000372,1774137600000
4,3,54,0.6796,0.6789,-0.103,1774137105000,0.6795,419.632,0.6794,1168.153,0.6793,1237.931,0.6792,2086.023,0.6791,3431.092,0.679,1822.571,0.6789,1293.917,0.6788,6441.979,0.6787,1764.176,0.6786,1459.509,0.6796,44.043,0.6797,1.501,0.6798,513.085,0.6799,869.384,0.68,3168.829,0.6801,8506.644,0.6802,2380.305,0.6803,284.716,0.6804,514.584,0.6805,1604.352,0.6798,76,0.6797,1341,0.6796,2753,0.6795,3077,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7235,0.6800,14683,0.6801,13928,0.6802,17213,0.6803,7289,0.6804,16781,0.6805,4839,0.6806,5567,0.6807,14770,0.6808,14208,-0.00000372,1774137600000
4,3,54,0.6792,0.6785,-0.1031,1774137106000,0.6791,338.688,0.6789,563.728,0.6788,1519.065,0.6787,1176.738,0.6786,3169.881,0.6785,5630.588,0.6784,2531.29,0.6783,617.906,0.6782,2250.202,0.6781,2054.535,0.6792,584.668,0.6793,1.5,0.6794,285.057,0.6795,3454.274,0.6796,1458.263,0.6797,5230.567,0.6798,4222.337,0.6799,4828.997,0.68,6168.851,0.6801,9564.035,0.6798,76,0.6797,1341,0.6796,2680,0.6795,3150,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7367,0.6800,14683,0.6801,13928,0.6802,17389,0.6803,7419,0.6804,16781,0.6805,4839,0.6806,5567,0.6807,14741,0.6808,14208,-0.00000372,1774137600000
4,3,54,0.6796,0.6788,-0.1177,1774137107000,0.6795,1120.757,0.6794,430.62,0.6793,5894.286,0.6792,3.002,0.6791,865.108,0.679,2405.377,0.6789,2671.183,0.6788,4374.425,0.6787,300.496,0.6786,3121.748,0.6796,1.5,0.6797,1.501,0.6798,514.585,0.6799,586.168,0.68,873.255,0.6801,1950.501,0.6802,3741.295,0.6803,2261.296,0.6804,4123.469,0.6805,5106.34,0.6798,76,0.6797,1341,0.6796,2753,0.6795,4548,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7207,0.6800,14683,0.6801,14088,0.6802,17389,0.6803,7419,0.6804,16127,0.6805,4839,0.6806,5567,0.6807,14741,0.6808,14208,-0.00000372,1774137600000
4,3,54,0.6798,0.6792,-0.0883,1774137108000,0.6797,251.666,0.6796,547.962,0.6795,1461.943,0.6794,3034.56,0.6793,1786.438,0.6792,1151.43,0.6791,1497.313,0.679,4409.459,0.6789,414.008,0.6788,5585.749,0.6798,628.711,0.6799,1.5,0.68,1.501,0.6801,798.176,0.6802,3955.866,0.6803,2172.5,0.6804,1776.939,0.6805,3168.85,0.6806,4824.508,0.6807,7920.53,0.6798,76,0.6797,15,0.6796,2753,0.6795,4548,0.6794,4378,0.6793,5582,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7367,0.6800,14683,0.6801,13928,0.6802,17389,0.6803,6858,0.6804,16127,0.6805,7031,0.6806,5567,0.6807,14741,0.6808,14208,-0.00000372,1774137600000
