spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,3,225,26.19000000,26.21,0.0764,1774137676000,26.19000000,4.45500000,26.18000000,6.38400000,26.17000000,106.21400000,26.16000000,122.32700000,26.15000000,55.14000000,26.14000000,58.32000000,26.13000000,68.48500000,26.12000000,4.53900000,26.11000000,67.37800000,26.10000000,71.91900000,26.20000000,10.91800000,26.21000000,4.56900000,26.22000000,15.27000000,26.23000000,24.67600000,26.24000000,12.35300000,26.25000000,127.47900000,26.26000000,62.92500000,26.27000000,68.49500000,26.28000000,70.19700000,26.29000000,73.19700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,225,26.20000000,26.21,0.0382,1774137677000,26.20000000,2.93900000,26.19000000,7.42800000,26.18000000,49.09200000,26.17000000,141.28700000,26.16000000,67.48300000,26.15000000,116.21000000,26.14000000,58.32000000,26.13000000,68.48500000,26.12000000,12.08700000,26.11000000,67.37800000,26.21000000,2.31500000,26.22000000,7.42800000,26.23000000,57.69800000,26.24000000,58.33100000,26.25000000,85.80500000,26.26000000,69.73600000,26.27000000,110.70800000,26.28000000,61.82800000,26.29000000,68.49500000,26.30000000,58.40800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,225,26.18000000,26.18,0.0,1774137678000,26.17000000,3.32000000,26.16000000,32.36600000,26.15000000,105.67600000,26.14000000,124.54100000,26.13000000,68.48500000,26.12000000,4.53900000,26.11000000,99.09400000,26.10000000,73.06800000,26.09000000,8.37900000,26.08000000,58.99400000,26.18000000,2.93900000,26.19000000,4.48900000,26.20000000,14.72800000,26.21000000,55.75800000,26.22000000,66.07900000,26.23000000,71.43500000,26.24000000,65.87900000,26.25000000,70.13900000,26.26000000,69.72400000,26.27000000,110.70800000,26.16,2.780,26.15,7.658,26.14,20.545,26.13,9.670,26.12,17.957,26.11,15.918,26.10,17.983,26.09,44.328,26.08,64.215,26.07,7.217,26.19,1.830,26.20,6.916,26.21,6.132,26.22,16.887,26.23,5.082,26.24,17.801,26.25,21.437,26.26,11.985,26.27,5.916,26.28,5.915,,
0,3,225,26.18000000,26.18,0.0,1774137679000,26.17000000,3.32000000,26.16000000,32.36600000,26.15000000,105.67600000,26.14000000,124.54100000,26.13000000,68.48500000,26.12000000,4.53900000,26.11000000,91.54600000,26.10000000,73.06800000,26.09000000,50.59200000,26.08000000,58.99400000,26.18000000,4.05000000,26.19000000,4.48900000,26.20000000,14.72800000,26.21000000,114.19100000,26.22000000,76.93600000,26.23000000,71.43500000,26.24000000,65.87900000,26.25000000,81.51100000,26.26000000,58.33000000,26.27000000,110.70800000,26.17,2.866,26.16,16.800,26.15,9.707,26.14,20.545,26.13,16.590,26.12,18.149,26.11,10.998,26.10,16.335,26.09,6.960,26.08,64.215,26.19,1.830,26.20,4.885,26.21,7.892,26.22,7.954,26.23,5.082,26.24,17.801,26.25,21.437,26.26,13.985,26.27,5.916,26.28,5.915,0.00005,1774152000000
0,3,225,26.17000000,26.17,0.0,1774137680000,26.20000000,2.93900000,26.19000000,6.98900000,26.18000000,10.42200000,26.17000000,154.17000000,26.16000000,52.45500000,26.15000000,144.24200000,26.14000000,45.55000000,26.13000000,68.48500000,26.12000000,46.75200000,26.11000000,73.29400000,26.21000000,0.38100000,26.22000000,7.42800000,26.23000000,71.43500000,26.24000000,99.88100000,26.25000000,70.13900000,26.26000000,69.73500000,26.27000000,110.70800000,26.28000000,54.28000000,26.29000000,76.04300000,26.30000000,76.95300000,26.17,0.010,26.16,18.328,26.15,9.707,26.14,20.545,26.13,16.590,26.12,18.149,26.11,10.998,26.10,16.335,26.09,6.960,26.08,64.215,26.19,1.830,26.20,4.885,26.21,9.921,26.22,7.954,26.23,5.082,26.24,17.801,26.25,21.437,26.26,13.985,26.27,5.916,26.28,6.106,0.00005,1774152000000
0,3,225,26.22000000,26.21,-0.0381,1774137681000,26.16000000,22.47600000,26.15000000,41.66700000,26.14000000,95.29900000,26.13000000,68.48500000,26.12000000,4.53900000,26.11000000,91.32700000,26.10000000,73.06800000,26.09000000,8.37900000,26.08000000,58.99400000,26.07000000,115.64100000,26.17000000,4.87300000,26.18000000,12.29500000,26.19000000,18.31100000,26.20000000,48.59500000,26.21000000,72.42400000,26.22000000,82.26000000,26.23000000,68.49600000,26.24000000,69.68100000,26.25000000,77.68700000,26.26000000,58.33000000,26.17,2.876,26.16,18.328,26.15,9.707,26.14,20.545,26.13,16.590,26.12,18.149,26.11,10.998,26.10,16.335,26.09,6.960,26.08,64.215,26.20,3.362,26.21,7.892,26.22,7.954,26.23,5.082,26.24,17.801,26.25,21.437,26.26,13.985,26.27,5.916,26.28,6.106,26.29,51.358,0.00005,1774152000000
0,3,225,26.22000000,26.22,0.0,1774137682000,26.19000000,7.32100000,26.18000000,34.34400000,26.17000000,85.48500000,26.16000000,25.72100000,26.15000000,148.06100000,26.14000000,30.27800000,26.13000000,68.48500000,26.12000000,12.08700000,26.11000000,65.74600000,26.10000000,74.97800000,26.20000000,0.00100000,26.21000000,4.48900000,26.22000000,10.71800000,26.23000000,68.49600000,26.24000000,58.33100000,26.25000000,70.13900000,26.26000000,69.74100000,26.27000000,110.70800000,26.28000000,54.28000000,26.29000000,68.49500000,26.18,2.933,26.17,7.460,26.16,16.800,26.15,11.739,26.14,20.545,26.13,16.590,26.12,18.149,26.11,8.966,26.10,16.335,26.09,6.960,26.20,1.830,26.21,9.117,26.22,7.954,26.23,5.082,26.24,17.801,26.25,21.437,26.26,16.017,26.27,5.916,26.28,6.106,26.29,51.358,0.00005,1774152000000
0,3,225,26.22000000,26.23,0.0381,1774137683000,26.19000000,1.58500000,26.18000000,18.64500000,26.17000000,88.65200000,26.16000000,25.99000000,26.15000000,144.24200000,26.14000000,30.02900000,26.13000000,68.48500000,26.12000000,12.08700000,26.11000000,67.37700000,26.10000000,73.06800000,26.20000000,6.98900000,26.21000000,12.30800000,26.22000000,9.64300000,26.23000000,114.13100000,26.24000000,61.99800000,26.25000000,84.16200000,26.26000000,60.18800000,26.27000000,89.33800000,26.28000000,54.28000000,26.29000000,71.96600000,26.18,2.933,26.17,7.460,26.16,16.800,26.15,11.739,26.14,20.545,26.13,16.590,26.12,18.149,26.11,8.966,26.10,16.335,26.09,6.960,26.19,3.159,26.20,3.362,26.21,7.892,26.22,7.954,26.23,8.828,26.24,17.801,26.25,21.437,26.26,13.985,26.27,5.916,26.28,6.106,0.00005,1774152000000
0,3,225,26.22000000,26.23,0.0381,1774137684000,26.21000000,2.93900000,26.20000000,7.42800000,26.19000000,14.80600000,26.18000000,8.65500000,26.17000000,76.71200000,26.16000000,50.86900000,26.15000000,212.68600000,26.14000000,6.38500000,26.13000000,68.48500000,26.12000000,30.09500000,26.22000000,0.38100000,26.23000000,9.76500000,26.24000000,40.25700000,26.25000000,68.49600000,26.26000000,73.99600000,26.27000000,79.92200000,26.28000000,54.28000000,26.29000000,70.15200000,26.30000000,119.16600000,26.31000000,68.49400000,26.18,2.933,26.17,4.594,26.16,16.800,26.15,11.739,26.14,20.545,26.13,16.590,26.12,18.149,26.11,8.966,26.10,16.335,26.09,44.328,26.20,4.886,26.21,5.087,26.22,7.954,26.23,8.828,26.24,17.801,26.25,21.437,26.26,13.985,26.27,5.916,26.28,6.106,26.29,51.358,0.00005,1774152000000
0,3,225,26.21000000,26.21,0.0,1774137685000,26.20000000,0.43900000,26.19000000,103.76900000,26.18000000,61.27100000,26.17000000,71.43600000,26.16000000,7.42800000,26.15000000,177.33000000,26.14000000,4.47800000,26.13000000,68.48500000,26.12000000,4.53900000,26.11000000,67.37700000,26.21000000,2.93900000,26.22000000,7.39900000,26.23000000,22.03900000,26.24000000,9.74300000,26.25000000,88.24500000,26.26000000,94.07900000,26.27000000,68.49500000,26.28000000,54.28000000,26.29000000,77.70000000,26.30000000,119.16600000,26.18,2.933,26.17,4.594,26.16,16.800,26.15,11.739,26.14,20.545,26.13,16.590,26.12,18.149,26.11,8.966,26.10,16.335,26.09,44.328,26.20,1.830,26.21,5.087,26.22,7.954,26.23,8.828,26.24,17.801,26.25,21.437,26.26,16.017,26.27,5.916,26.28,6.106,26.29,51.358,0.00005,1774152000000
