spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,5,225,26.18000000,26.22,0.1528,1774137679000,26.17000000,3.32000000,26.16000000,32.36600000,26.15000000,105.67600000,26.14000000,124.54100000,26.13000000,68.48500000,26.12000000,4.53900000,26.11000000,91.54600000,26.10000000,73.06800000,26.09000000,50.59200000,26.08000000,58.99400000,26.18000000,4.05000000,26.19000000,4.48900000,26.20000000,14.72800000,26.21000000,114.19100000,26.22000000,76.93600000,26.23000000,71.43500000,26.24000000,65.87900000,26.25000000,81.51100000,26.26000000,58.33000000,26.27000000,110.70800000,26.21,10,26.2,2422,26.19,6000,26.18,28358,26.17,1600,26.16,4877,26.15,1899,26.14,2413,26.13,2637,26.12,1769,26.22,861,26.23,2257,26.24,2980,26.25,2911,26.26,3482,26.27,2918,26.28,9408,26.29,2364,26.3,4370,26.31,2739,,
0,5,225,26.17000000,26.22,0.1911,1774137680000,26.20000000,2.93900000,26.19000000,6.98900000,26.18000000,10.42200000,26.17000000,154.17000000,26.16000000,52.45500000,26.15000000,144.24200000,26.14000000,45.55000000,26.13000000,68.48500000,26.12000000,46.75200000,26.11000000,73.29400000,26.21000000,0.38100000,26.22000000,7.42800000,26.23000000,71.43500000,26.24000000,99.88100000,26.25000000,70.13900000,26.26000000,69.73500000,26.27000000,110.70800000,26.28000000,54.28000000,26.29000000,76.04300000,26.30000000,76.95300000,26.21,385,26.2,2318,26.19,4168,26.18,28454,26.17,2120,26.16,4033,26.15,1525,26.14,6290,26.13,2637,26.12,2791,26.22,1513,26.23,3642,26.24,2332,26.25,2236,26.26,4373,26.27,2360,26.28,9408,26.29,2364,26.3,4370,26.31,2219,,
0,5,225,26.22000000,26.25,0.1144,1774137681000,26.16000000,22.47600000,26.15000000,41.66700000,26.14000000,95.29900000,26.13000000,68.48500000,26.12000000,4.53900000,26.11000000,91.32700000,26.10000000,73.06800000,26.09000000,8.37900000,26.08000000,58.99400000,26.07000000,115.64100000,26.17000000,4.87300000,26.18000000,12.29500000,26.19000000,18.31100000,26.20000000,48.59500000,26.21000000,72.42400000,26.22000000,82.26000000,26.23000000,68.49600000,26.24000000,69.68100000,26.25000000,77.68700000,26.26000000,58.33000000,26.19,573,26.18,26181,26.17,1868,26.16,3530,26.15,2216,26.14,2540,26.13,2637,26.12,2417,26.11,2600,26.1,4703,26.2,1144,26.21,3609,26.22,3572,26.23,6546,26.24,3726,26.25,2990,26.26,5874,26.27,3950,26.28,9797,26.29,2364,,
0,5,225,26.22000000,26.25,0.1144,1774137682000,26.19000000,7.32100000,26.18000000,34.34400000,26.17000000,85.48500000,26.16000000,25.72100000,26.15000000,148.06100000,26.14000000,30.27800000,26.13000000,68.48500000,26.12000000,12.08700000,26.11000000,65.74600000,26.10000000,74.97800000,26.20000000,0.00100000,26.21000000,4.48900000,26.22000000,10.71800000,26.23000000,68.49600000,26.24000000,58.33100000,26.25000000,70.13900000,26.26000000,69.74100000,26.27000000,110.70800000,26.28000000,54.28000000,26.29000000,68.49500000,26.21,3451,26.2,3391,26.19,4942,26.18,26936,26.17,1868,26.16,3866,26.15,1525,26.14,6852,26.13,2637,26.12,2143,26.22,3,26.23,5,26.24,2043,26.25,2961,26.26,3482,26.27,2734,26.28,9425,26.29,2364,26.3,4370,26.31,2219,,
0,5,225,26.22000000,26.25,0.1144,1774137683000,26.19000000,1.58500000,26.18000000,18.64500000,26.17000000,88.65200000,26.16000000,25.99000000,26.15000000,144.24200000,26.14000000,30.02900000,26.13000000,68.48500000,26.12000000,12.08700000,26.11000000,67.37700000,26.10000000,73.06800000,26.20000000,6.98900000,26.21000000,12.30800000,26.22000000,9.64300000,26.23000000,114.13100000,26.24000000,61.99800000,26.25000000,84.16200000,26.26000000,60.18800000,26.27000000,89.33800000,26.28000000,54.28000000,26.29000000,71.96600000,26.25,342,26.24,2122,26.23,2747,26.22,2745,26.21,4374,26.2,2745,26.19,4372,26.18,26831,26.17,1868,26.16,2883,26.26,2299,26.27,1493,26.28,4989,26.29,3165,26.3,8883,26.31,7811,26.32,7689,26.33,2952,26.34,5212,26.35,1338,,
0,5,225,26.22000000,26.25,0.1144,1774137684000,26.21000000,2.93900000,26.20000000,7.42800000,26.19000000,14.80600000,26.18000000,8.65500000,26.17000000,76.71200000,26.16000000,50.86900000,26.15000000,212.68600000,26.14000000,6.38500000,26.13000000,68.48500000,26.12000000,30.09500000,26.22000000,0.38100000,26.23000000,9.76500000,26.24000000,40.25700000,26.25000000,68.49600000,26.26000000,73.99600000,26.27000000,79.92200000,26.28000000,54.28000000,26.29000000,70.15200000,26.30000000,119.16600000,26.31000000,68.49400000,26.25,359,26.24,2394,26.23,2257,26.22,2364,26.21,4374,26.2,2745,26.19,4372,26.18,26831,26.17,1868,26.16,2883,26.26,1948,26.27,3311,26.28,6788,26.29,1864,26.3,5484,26.31,8191,26.32,4329,26.33,2210,26.34,3352,26.35,1338,,
0,5,225,26.21000000,26.25,0.1526,1774137685000,26.20000000,0.43900000,26.19000000,103.76900000,26.18000000,61.27100000,26.17000000,71.43600000,26.16000000,7.42800000,26.15000000,177.33000000,26.14000000,4.47800000,26.13000000,68.48500000,26.12000000,4.53900000,26.11000000,67.37700000,26.21000000,2.93900000,26.22000000,7.39900000,26.23000000,22.03900000,26.24000000,9.74300000,26.25000000,88.24500000,26.26000000,94.07900000,26.27000000,68.49500000,26.28000000,54.28000000,26.29000000,77.70000000,26.30000000,119.16600000,26.25,342,26.24,2122,26.23,2747,26.22,2745,26.21,4374,26.2,2745,26.19,4372,26.18,26831,26.17,1868,26.16,2883,26.26,2299,26.27,1493,26.28,4989,26.29,3165,26.3,8883,26.31,7811,26.32,7689,26.33,2952,26.34,5212,26.35,1338,,
0,5,225,26.21000000,26.25,0.1526,1774137687000,26.20000000,4.48900000,26.19000000,76.12900000,26.18000000,102.08100000,26.17000000,133.05000000,26.16000000,7.42800000,26.15000000,144.24200000,26.14000000,30.02800000,26.13000000,77.94100000,26.12000000,4.53900000,26.11000000,67.37700000,26.21000000,2.93900000,26.22000000,3.37800000,26.23000000,56.84100000,26.24000000,9.74300000,26.25000000,71.43000000,26.26000000,93.07600000,26.27000000,75.23600000,26.28000000,66.52500000,26.29000000,70.15200000,26.30000000,119.16600000,26.25,341,26.24,2502,26.23,2618,26.22,2745,26.21,4374,26.2,2745,26.19,4372,26.18,26831,26.17,1868,26.16,2883,26.26,1272,26.27,3191,26.28,3478,26.29,8376,26.3,8131,26.31,2219,26.32,6170,26.33,1838,26.34,3352,26.35,1338,,
0,5,225,26.20000000,26.22,0.0763,1774137688000,26.20000000,4.48900000,26.19000000,91.39500000,26.18000000,82.10300000,26.17000000,133.05000000,26.16000000,7.42800000,26.15000000,144.24200000,26.14000000,30.02800000,26.13000000,77.94100000,26.12000000,4.53900000,26.11000000,67.37700000,26.21000000,2.93900000,26.22000000,7.42800000,26.23000000,56.84100000,26.24000000,9.74300000,26.25000000,72.40800000,26.26000000,73.99600000,26.27000000,68.49500000,26.28000000,73.26600000,26.29000000,70.15200000,26.30000000,119.16600000,26.25,341,26.24,3347,26.23,2618,26.22,2745,26.21,4374,26.2,2745,26.19,4372,26.18,26831,26.17,1868,26.16,2883,26.26,686,26.27,2954,26.28,4987,26.29,8753,26.3,8512,26.31,3352,26.32,7284,26.33,3698,26.34,3352,26.35,1338,,
0,5,225,26.20000000,26.21,0.0382,1774137689000,26.18000000,23.57000000,26.17000000,138.61100000,26.16000000,7.42800000,26.15000000,144.24200000,26.14000000,30.02800000,26.13000000,76.03300000,26.12000000,6.44700000,26.11000000,67.37700000,26.10000000,73.06800000,26.09000000,8.37900000,26.19000000,2.55800000,26.20000000,2.93900000,26.21000000,8.24800000,26.22000000,12.68000000,26.23000000,46.04100000,26.24000000,63.58500000,26.25000000,91.49100000,26.26000000,62.49000000,26.27000000,75.22400000,26.28000000,66.51500000,26.25,348,26.24,3343,26.23,2367,26.22,2745,26.21,4374,26.2,2745,26.19,4371,26.18,26831,26.17,1868,26.16,2883,26.26,1411,26.27,2954,26.28,4611,26.29,9508,26.3,8512,26.31,6442,26.32,6912,26.33,4080,26.34,3352,26.35,1338,,
