spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,1,218,0.4781,0.4758000,-0.4811,1774137699000,0.478,1003.34,0.4779,2508.88,0.4777,1003.23,0.4774,3497.8,0.4768,26.39,0.4767,1001.66,0.4766,2501.56,0.4758,2504.17,0.4755,60,0.4745,72.35,0.4792,1003.34,0.4793,2504.17,0.4796,1001.66,0.4797,2574.83,0.4801,1001.46,0.4802,2501.3,0.4806,2498.43,0.4807,1003.65,0.4813,1003.65,0.4857,16.47,0.4766000,1762,0.4765000,1554,0.4764000,107,0.4763000,1812,0.4762000,107,0.4761000,630,0.4760000,1372,0.4759000,168,0.4758000,1125,0.4757000,716,0.4772000,235,0.4773000,485,0.4774000,529,0.4775000,271,0.4776000,1059,0.4777000,1434,0.4778000,1608,0.4779000,1230,0.4780000,107,0.4781000,872,0.00005000,1774152000000
8,1,218,0.4792,0.4766000,-0.5426,1774137717000,0.4777,1004.28,0.4774,3497.8,0.4767,1001.66,0.4766,2527.97,0.476,1003.23,0.4758,2504.17,0.4755,60,0.475,2508.09,0.4745,72.35,0.4744,123.31,0.4788,2510.72,0.4792,1003.34,0.4793,2504.17,0.4796,1001.66,0.4797,2574.83,0.4801,1001.46,0.4802,2501.3,0.4807,1004.28,0.4809,2510.72,0.4813,1004.28,0.4763000,165,0.4761000,273,0.4760000,605,0.4759000,1126,0.4758000,109,0.4757000,903,0.4756000,628,0.4755000,1052,0.4754000,316,0.4753000,800,0.4766000,73,0.4768000,263,0.4769000,691,0.4770000,523,0.4771000,887,0.4772000,529,0.4773000,275,0.4774000,1304,0.4775000,630,0.4776000,1612,0.00005000,1774152000000
8,1,218,0.4778,0.4757000,-0.4395,1774137727000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4756000,157,0.4755000,516,0.4754000,843,0.4753000,1652,0.4752000,4411,0.4751000,699,0.4750000,3012,0.4749000,109,0.4748000,1050,0.4747000,170,0.4764000,108,0.4765000,588,0.4766000,631,0.4767000,502,0.4768000,940,0.4769000,3557,0.4770000,1059,0.4771000,1046,0.4772000,1627,0.4773000,883,0.00005000,1774152000000
8,1,218,0.4771,0.4757000,-0.2934,1774137728000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4754000,210,0.4753000,196,0.4752000,3787,0.4751000,529,0.4750000,3012,0.4749000,109,0.4748000,1050,0.4747000,310,0.4746000,2506,0.4745000,780,0.4756000,48,0.4759000,106,0.4760000,125,0.4761000,35,0.4762000,901,0.4763000,739,0.4764000,1127,0.4765000,899,0.4766000,375,0.4767000,776,0.00005000,1774152000000
8,1,218,0.476,0.4736000,-0.5042,1774137732000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4763000,749,0.4762000,106,0.4761000,106,0.4760000,218,0.4759000,558,0.4758000,523,0.4757000,505,0.4756000,234,0.4755000,611,0.4754000,210,0.4771000,270,0.4772000,309,0.4773000,106,0.4774000,1052,0.4775000,345,0.4776000,1612,0.4777000,107,0.4778000,2034,0.4779000,3742,0.4780000,107,0.00005000,1774152000000
8,1,218,0.4755,0.4736000,-0.3996,1774137733000,0.4774,1003.34,0.477,1003.34,0.4767,1001.66,0.4766,2501.56,0.4761,26.6,0.476,1003.23,0.4758,2504.17,0.4755,60,0.475,2508.36,0.4745,72.35,0.4785,2508.36,0.4787,1003.34,0.4789,2509.14,0.4791,1004.28,0.4793,2504.17,0.4796,1001.66,0.4797,2574.83,0.4801,1001.46,0.4802,2501.3,0.4807,1004.28,0.4764000,164,0.4762000,106,0.4761000,106,0.4760000,316,0.4759000,558,0.4758000,753,0.4757000,505,0.4756000,234,0.4755000,611,0.4754000,210,0.4771000,300,0.4772000,309,0.4773000,1124,0.4774000,1052,0.4775000,345,0.4776000,1612,0.4777000,107,0.4778000,2034,0.4779000,3742,0.4780000,107,0.00005000,1774152000000
8,1,218,0.4755,0.4737000,-0.3785,1774137738000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4759000,91,0.4758000,432,0.4757000,1217,0.4756000,627,0.4755000,694,0.4754000,1503,0.4753000,1371,0.4752000,3798,0.4751000,529,0.4750000,3012,0.4766000,1111,0.4767000,282,0.4768000,902,0.4769000,3256,0.4770000,1501,0.4771000,1046,0.4772000,516,0.4773000,883,0.4774000,1052,0.4775000,107,0.00005000,1774152000000
8,1,218,0.4708,0.4730000,0.4673,1774137744000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4760000,423,0.4759000,121,0.4758000,119,0.4757000,1217,0.4756000,469,0.4755000,1104,0.4754000,1053,0.4753000,1580,0.4752000,4619,0.4751000,529,0.4766000,523,0.4767000,282,0.4768000,940,0.4769000,3557,0.4770000,1059,0.4771000,1046,0.4772000,1627,0.4773000,883,0.4774000,1417,0.4775000,107,0.00005000,1774152000000
8,1,218,0.4666,0.4730000,1.3716,1774137744528,0.4771,2510.72,0.477,1004.28,0.4767,1004.28,0.4766,2501.56,0.476,1028.78,0.4758,2504.17,0.4753,1004.28,0.475,2508.36,0.4748,60,0.4742,37.42,0.4781,2510.72,0.4784,1005.02,0.4785,2508.36,0.4787,1003.34,0.4789,2509.14,0.4791,1074.42,0.4793,2504.17,0.4796,1001.66,0.4797,2504.69,0.4801,1001.46,0.4620000,309,0.4619000,713,0.4616000,108,0.4615000,755,0.4612000,53,0.4611000,755,0.4606000,755,0.4604000,200,0.4602000,755,0.4601000,63,0.4630000,109,0.4635000,151,0.4638000,709,0.4641000,464,0.4642000,352,0.4643000,755,0.4644000,121,0.4645000,164,0.4646000,22,0.4647000,5663,0.00005000,1774152000000
8,1,218,0.4659,0.4730000,1.5239,1774137744828,0.4771,2510.72,0.477,1004.28,0.4767,1004.28,0.4766,2501.56,0.476,1028.78,0.4758,2504.17,0.4753,1004.28,0.475,2508.36,0.4748,60,0.4742,37.42,0.4781,2510.72,0.4784,1005.02,0.4785,2508.36,0.4787,1003.34,0.4789,2509.14,0.4791,1074.42,0.4793,2504.17,0.4796,1001.66,0.4797,2504.69,0.4801,1001.46,0.4620000,415,0.4613000,144,0.4606000,755,0.4602000,99,0.4601000,175,0.4596000,1273,0.4592000,1273,0.4591000,292,0.4590000,518,0.4588000,1273,0.4624000,444,0.4627000,755,0.4628000,9,0.4630000,641,0.4631000,755,0.4634000,259,0.4635000,1019,0.4636000,109,0.4637000,5554,0.4638000,325,0.00005000,1774152000000
