spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
2,9,218,0.4787,0.4767,-0.4178,1774137691000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4767,878,0.47669,2892,0.47666,2494,0.47663,1049,0.47646,20,0.47645,2494,0.47622,105,0.47619,365,0.47617,2494,0.47616,1493,0.47746,1003,0.47747,2892,0.47769,2494,0.47785,500,0.47786,2494,0.47789,2892,0.47823,500,0.47824,2494,0.4783,2892,0.47858,500,-0.000366,1774152000000
2,9,218,0.4788,0.47663,-0.4532,1774137692000,0.4773,1920.1,0.4772,2988.2,0.4767,1253.9,0.4766,2988.2,0.4761,18.4,0.476,123.4,0.4759,158.2,0.4758,2988.2,0.4757,158,0.4754,62.5,0.4788,2988.2,0.4789,1253.9,0.4791,1279.6,0.4792,2988.2,0.4795,1252.6,0.4796,2988.2,0.4799,1253.1,0.48,2988.2,0.4801,1251.9,0.4826,29.9,0.4767,878,0.47669,2892,0.47666,2494,0.47663,1049,0.47646,20,0.47645,2494,0.47631,20,0.47622,105,0.47619,365,0.47617,2494,0.47746,1003,0.47747,2892,0.47768,500,0.47769,2494,0.47785,500,0.47786,2494,0.47789,2892,0.47823,500,0.47824,2494,0.4783,2892,-0.000366,1774152000000
2,9,218,0.4791,0.47663,-0.5155,1774137694000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4767,878,0.47669,2892,0.47666,2494,0.47663,1049,0.47646,20,0.47645,2494,0.47631,20,0.47622,105,0.47619,365,0.47617,2494,0.47747,2892,0.47769,2494,0.47786,2494,0.47789,2892,0.47823,500,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,0.47872,500,-0.000366,1774152000000
2,9,218,0.4788,0.47664,-0.4511,1774137695000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4767,878,0.47669,2892,0.47666,2494,0.47663,1049,0.47646,20,0.47645,2494,0.47631,20,0.47622,105,0.47619,365,0.47617,2494,0.47767,882,0.47786,2494,0.47789,2892,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,0.47872,500,0.47873,2892,0.47876,2494,-0.000366,1774152000000
2,9,218,0.4787,0.47672,-0.4136,1774137696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47686,876,0.4767,878,0.47669,2892,0.47666,2494,0.47663,1049,0.47645,2494,0.47631,20,0.47622,105,0.47619,365,0.47617,2494,0.47766,2494,0.47767,882,0.47786,2494,0.47789,2892,0.47823,500,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,0.47872,500,-0.000366,1774152000000
2,9,218,0.4783,0.47665,-0.345,1774137699000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47687,778,0.47669,2892,0.47666,2494,0.47663,1049,0.47645,2494,0.47631,20,0.47622,105,0.47619,365,0.47617,2494,0.47616,1493,0.47767,882,0.47784,2494,0.47785,2892,0.47803,2494,0.47823,500,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,0.47872,500,-0.000366,1774152000000
2,9,218,0.4783,0.47667,-0.3408,1774137700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000366,1774152000000
2,9,218,0.478,0.47667,-0.2782,1774137701000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47687,778,0.47669,2892,0.47666,2494,0.47663,1049,0.47645,2494,0.47631,20,0.47622,105,0.47619,365,0.47617,2494,0.47616,1493,0.47767,882,0.47783,500,0.47784,2494,0.47785,2892,0.47803,2494,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,0.47872,500,-0.000366,1774152000000
2,9,218,0.4776,0.47621,-0.291,1774137703000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000366,1774152000000
2,9,218,0.4779,0.4764,-0.3139,1774137704000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47687,778,0.47669,2892,0.47666,2494,0.47663,1049,0.47645,2494,0.47622,105,0.47619,365,0.47617,2494,0.47616,1493,0.47615,2892,0.47767,882,0.47783,500,0.47784,2494,0.47785,2892,0.47803,2494,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,0.47872,500,-0.000366,1774152000000
2,9,218,0.4779,0.47618,-0.3599,1774137706000,0.4777,1255,0.4773,1920.1,0.4772,2988.2,0.4766,2988.2,0.4761,18.4,0.476,123.4,0.4759,158.2,0.4758,2988.2,0.4757,158,0.4754,62.5,0.4791,25.9,0.4792,2988.2,0.4795,1252.6,0.4796,2988.2,0.4799,1253.1,0.48,2988.2,0.4801,1251.9,0.4807,4243.2,0.4826,29.9,0.4827,157.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000366,1774152000000
2,9,218,0.478,0.476,-0.4184,1774137707000,0.4777,1255,0.4773,1920.1,0.4772,2988.2,0.4766,2988.2,0.4761,18.4,0.476,123.4,0.4759,220.7,0.4758,2988.2,0.4757,158,0.4753,25,0.4791,1280.9,0.4792,2988.2,0.4795,1252.6,0.4796,2988.2,0.4799,1253.1,0.48,2988.2,0.4801,1251.9,0.4807,4243.2,0.4826,29.9,0.4827,157.3,0.47687,778,0.47669,2892,0.47666,2494,0.47663,1049,0.47645,2494,0.47622,105,0.47619,365,0.47617,2494,0.47616,1493,0.47615,2892,0.47767,882,0.47783,500,0.47784,2494,0.47785,2892,0.47803,2494,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,0.47872,500,-0.000366,1774152000000
2,9,218,0.4776,0.476,-0.335,1774137710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000366,1774152000000
2,9,218,0.4776,0.47594,-0.3476,1774137711000,0.4777,1255,0.4773,1920.1,0.4772,2988.2,0.4766,2988.2,0.4761,18.4,0.476,123.4,0.4759,220.7,0.4758,2988.2,0.4757,158,0.4753,25,0.4791,1280.9,0.4792,2988.2,0.4795,1252.6,0.4796,2988.2,0.4799,1253.1,0.48,2988.2,0.4801,1251.9,0.4807,4243.2,0.4826,29.9,0.4827,157.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000366,1774152000000
2,9,218,0.4775,0.47563,-0.3916,1774137715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47687,778,0.47669,2892,0.47666,2494,0.47663,1049,0.47645,2494,0.47622,105,0.47619,365,0.47617,2494,0.47616,1493,0.47615,2892,0.47767,882,0.47783,500,0.47784,2494,0.47785,2892,0.47802,500,0.47803,2494,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,-0.000366,1774152000000
2,9,218,0.4772,0.47564,-0.3269,1774137716000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000366,1774152000000
2,9,218,0.4776,0.47586,-0.3643,1774137718000,0.4777,1255,0.4773,1920.1,0.4772,2988.2,0.4766,2988.2,0.4761,18.4,0.476,123.4,0.4759,158.2,0.4758,2988.2,0.4757,158,0.4753,25,0.4789,1254.1,0.4791,1280.9,0.4792,2988.2,0.4795,1252.6,0.4796,2988.2,0.4799,1253.1,0.48,2988.2,0.4801,1251.9,0.4807,2988.2,0.4826,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000366,1774152000000
2,9,218,0.4786,0.47565,-0.6164,1774137719000,0.4777,1255,0.4773,1920.1,0.4772,2988.2,0.4766,2988.2,0.4761,18.4,0.476,123.4,0.4759,158.2,0.4758,2988.2,0.4757,158,0.4753,25,0.4788,2988.2,0.4789,1254.1,0.4791,1280.9,0.4792,2988.2,0.4795,1252.6,0.4796,2988.2,0.4799,1253.1,0.48,2988.2,0.4801,1251.9,0.4826,29.9,0.4767,1096,0.47669,2892,0.47666,2494,0.47663,1049,0.47645,2494,0.47622,105,0.47619,365,0.47617,2494,0.47616,1493,0.47615,2892,0.47765,2036,0.47766,2494,0.47784,2494,0.47785,2892,0.47803,2494,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,0.47872,500,-0.000366,1774152000000
2,9,218,0.4796,0.4759,-0.7715,1774137720000,0.4777,1255,0.4773,1920.1,0.4772,2988.2,0.4766,2988.2,0.4761,18.4,0.476,123.4,0.4759,158.2,0.4758,2988.2,0.4757,158,0.4754,62.5,0.4788,2988.2,0.4789,1254.1,0.4791,1280.9,0.4792,2988.2,0.4795,1252.6,0.4796,2988.2,0.4799,1253.1,0.48,2988.2,0.4801,1251.9,0.4826,29.9,0.4767,1096,0.47669,2892,0.47666,2494,0.47663,1049,0.47645,2494,0.47622,105,0.47619,365,0.47617,2494,0.47616,1493,0.47615,2892,0.47765,2036,0.47766,2494,0.47783,500,0.47784,2494,0.47785,2892,0.47803,2494,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,-0.000366,1774152000000
2,9,218,0.4777,0.47606,-0.3433,1774137723000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47664,836,0.47663,1049,0.47619,365,0.47617,2494,0.47616,1493,0.47615,2892,0.47608,2341,0.47602,2910,0.47598,2613,0.4756,131,0.47741,1940,0.47742,2892,0.47765,500,0.47766,2494,0.47783,500,0.47784,2494,0.47785,2892,0.47803,2494,0.47824,2494,0.4783,2892,-0.000694,1774152000000
2,9,218,0.4779,0.47587,-0.4248,1774137724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47663,1049,0.47617,2494,0.47616,1493,0.47615,2892,0.47608,2341,0.47602,2910,0.47598,2613,0.4756,131,0.47557,2494,0.47553,1985,0.47712,791,0.47739,2049,0.4774,2994,0.47742,2892,0.47765,500,0.47766,2494,0.47783,500,0.47784,2494,0.47785,2892,0.47803,2494,-0.000694,1774152000000
2,9,218,0.478,0.4756,-0.5021,1774137726000,0.4773,1920.1,0.4772,2988.2,0.4767,1254.1,0.4766,2988.2,0.4761,18.4,0.476,123.4,0.4759,158.2,0.4758,2988.2,0.4757,158,0.4754,62.5,0.4788,2988.2,0.4791,1280.9,0.4792,2988.2,0.4795,1252.6,0.4796,2988.2,0.4799,1253.1,0.48,2988.2,0.4801,1251.9,0.4826,29.9,0.4827,157.3,0.47663,1049,0.47618,1260,0.47617,2494,0.47616,1493,0.47615,2892,0.47608,2341,0.47602,2910,0.47598,2613,0.4756,131,0.47557,2494,0.47728,838,0.47782,1268,0.47783,500,0.47784,2494,0.47785,2892,0.47803,2494,0.47824,2494,0.4783,2892,0.47858,500,0.47859,2494,-0.000694,1774152000000
