spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,3,371,85.35,85.17,-0.2109,1774137680000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,0.91,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,1.06,85.07,8.05,85.06,8.33,85.05,14.89,85.04,26.94,85.14,0.60,85.15,1.69,85.16,2.42,85.17,1.78,85.18,1.82,85.19,1.88,85.20,21.45,85.21,9.06,85.22,1.58,85.23,7.74,0.00005,1774152000000
6,3,371,85.31,85.26,-0.0586,1774137681000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,1.06,85.07,13.92,85.06,2.46,85.05,14.99,85.04,26.94,85.14,0.60,85.15,0.80,85.16,2.42,85.17,1.78,85.18,1.65,85.19,1.88,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
6,3,371,85.28,85.24,-0.0469,1774137682000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,6.93,85.07,8.05,85.06,2.46,85.05,14.99,85.04,26.94,85.14,0.60,85.15,0.80,85.16,2.42,85.17,1.78,85.18,1.65,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
6,3,371,85.28,85.27,-0.0117,1774137683000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,12.99,85.07,8.05,85.06,2.46,85.05,14.89,85.04,26.94,85.14,0.60,85.15,1.69,85.16,2.42,85.17,1.78,85.18,1.75,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
6,3,371,85.25,85.25,0.0,1774137684000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,7.12,85.07,13.92,85.06,2.36,85.05,14.89,85.04,26.94,85.14,0.60,85.15,0.89,85.16,2.42,85.17,1.78,85.18,1.75,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
6,3,371,85.23,85.26,0.0352,1774137685000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,1.80,85.12,1.05,85.11,14.91,85.10,1.13,85.09,19.81,85.08,12.99,85.07,8.05,85.06,1.14,85.05,14.89,85.04,26.94,85.14,1.52,85.15,0.89,85.16,1.58,85.17,1.78,85.18,8.93,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
6,3,371,85.23,85.26,0.0352,1774137686000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,12.99,85.07,8.05,85.06,2.21,85.05,15.09,85.04,26.94,85.14,0.92,85.15,0.89,85.16,1.58,85.17,1.78,85.18,8.93,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.65,85.23,1.88,0.00005,1774152000000
6,3,371,85.24,85.26,0.0235,1774137687000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.14,1.78,85.13,2.40,85.12,1.05,85.11,14.91,85.10,8.34,85.09,19.81,85.08,13.19,85.07,8.25,85.06,2.21,85.05,15.09,85.17,0.80,85.18,8.73,85.19,1.78,85.20,2.63,85.21,8.96,85.22,1.65,85.23,1.98,85.24,8.85,85.25,26.56,85.26,15.67,0.00005,1774152000000
6,3,371,85.35,85.2,-0.1757,1774137688000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,12.99,85.07,8.05,85.06,2.21,85.05,14.89,85.04,26.94,85.14,0.60,85.15,1.78,85.16,1.58,85.17,1.78,85.18,8.90,85.19,1.92,85.20,2.63,85.21,9.06,85.22,1.65,85.23,1.98,0.00005,1774152000000
6,3,371,85.35,85.22,-0.1523,1774137689000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,7.12,85.07,8.05,85.06,8.08,85.05,14.89,85.04,26.94,85.14,0.60,85.15,1.68,85.16,1.58,85.17,1.78,85.18,8.90,85.19,1.92,85.20,2.63,85.21,9.06,85.22,1.65,85.23,7.84,0.00005,1774152000000
