spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
4,3,371,85.26,85.13,-0.1525,1774137678000,85.25,4.591271,85.24,0.743805,85.23,0.77421,85.22,2.213571,85.21,41.682394,85.2,102.054431,85.19,22.745661,85.18,38.315265,85.17,4.755733,85.16,6.213921,85.26,0.013559,85.27,1.638068,85.28,1.3785,85.29,21.359066,85.3,27.414719,85.31,36.870582,85.32,17.670018,85.33,7.610115,85.34,54.710883,85.35,16.738711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,371,85.26,85.13,-0.1525,1774137679000,85.25,10.047115,85.24,0.743805,85.23,0.51771,85.22,2.213571,85.21,4.963814,85.2,102.054431,85.19,25.517801,85.18,38.315265,85.17,4.755733,85.16,0.334335,85.26,5.587527,85.27,1.122,85.28,1.3785,85.29,33.080335,85.3,20.057516,85.31,36.870582,85.32,17.670018,85.33,11.158252,85.34,54.710883,85.35,16.738711,85.14,0.89,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,25.68,85.08,1.06,85.07,8.05,85.06,2.56,85.05,15.09,85.15,0.80,85.16,1.49,85.17,1.78,85.18,1.65,85.19,1.88,85.20,21.45,85.21,9.06,85.22,1.68,85.23,1.88,85.24,8.85,0.00005,1774152000000
4,3,371,85.27,85.17,-0.1173,1774137680000,85.25,11.310493,85.24,0.743805,85.23,0.77421,85.22,10.113932,85.21,49.039166,85.2,105.054431,85.19,25.750888,85.18,38.315265,85.17,4.755733,85.16,0.334335,85.27,4.416068,85.28,1.3785,85.29,6.166528,85.3,7.370866,85.31,45.150923,85.32,11.870229,85.33,19.761618,85.34,41.180768,85.35,10.130163,85.36,39.301224,85.13,0.91,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,1.06,85.07,8.05,85.06,8.33,85.05,14.89,85.04,26.94,85.14,0.60,85.15,1.69,85.16,2.42,85.17,1.78,85.18,1.82,85.19,1.88,85.20,21.45,85.21,9.06,85.22,1.58,85.23,7.74,0.00005,1774152000000
4,3,371,85.37,85.26,-0.1289,1774137681000,85.36,1.122,85.35,1.3785,85.34,8.27412,85.33,7.224338,85.32,1.3065,85.31,72.893432,85.3,440.668038,85.29,0.2565,85.28,6.391,85.26,7.345505,85.37,0.82,85.38,1.637343,85.39,0.2565,85.4,0.2565,85.41,9.28717,85.42,26.540989,85.43,41.147991,85.44,13.612899,85.45,0.2565,85.46,43.521487,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,1.06,85.07,13.92,85.06,2.46,85.05,14.99,85.04,26.94,85.14,0.60,85.15,0.80,85.16,2.42,85.17,1.78,85.18,1.65,85.19,1.88,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
4,3,371,85.33,85.24,-0.1055,1774137682000,85.32,1.3785,85.31,20.187329,85.3,440.668038,85.29,0.2565,85.25,11.506134,85.24,62.110316,85.23,0.77421,85.22,2.213571,85.21,44.621699,85.2,102.054431,85.33,3.035343,85.34,1.5694,85.35,1.122,85.36,12.83023,85.37,2.6914,85.38,6.081969,85.39,13.612899,85.4,14.576567,85.41,0.858045,85.42,17.781372,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,6.93,85.07,8.05,85.06,2.46,85.05,14.99,85.04,26.94,85.14,0.60,85.15,0.80,85.16,2.42,85.17,1.78,85.18,1.65,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
4,3,371,85.38,85.27,-0.1288,1774137683000,85.36,1.122,85.35,1.05,85.34,8.074887,85.33,4.3065,85.32,4.240262,85.31,64.401978,85.3,440.668038,85.29,0.2565,85.25,18.430055,85.24,69.229878,85.38,2.6914,85.39,1.893722,85.4,4.1285,85.41,11.96473,85.42,5.983187,85.43,47.2922,85.44,13.511583,85.45,7.666992,85.46,43.521487,85.47,42.658193,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,12.99,85.07,8.05,85.06,2.46,85.05,14.89,85.04,26.94,85.14,0.60,85.15,1.69,85.16,2.42,85.17,1.78,85.18,1.75,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
4,3,371,85.35,85.25,-0.1172,1774137684000,85.34,1.3785,85.33,1.3785,85.32,6.632381,85.31,64.262681,85.3,440.668038,85.29,0.2565,85.27,0.147392,85.25,29.118602,85.24,67.959637,85.23,7.87588,85.35,1.5694,85.36,1.122,85.37,1.637403,85.38,1.5694,85.39,13.08673,85.4,1.3785,85.41,19.526954,85.42,20.318172,85.43,37.021624,85.44,0.2565,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,7.12,85.07,13.92,85.06,2.36,85.05,14.89,85.04,26.94,85.14,0.60,85.15,0.89,85.16,2.42,85.17,1.78,85.18,1.75,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
4,3,371,85.36,85.26,-0.1172,1774137685000,85.34,1.3785,85.33,1.30557,85.32,8.140055,85.31,67.262681,85.3,440.668038,85.29,0.2565,85.26,17.715982,85.25,17.416314,85.24,69.20366,85.23,7.87588,85.35,1.5694,85.36,1.122,85.37,1.122,85.38,1.5694,85.39,1.3785,85.4,6.012606,85.41,15.13923,85.42,30.070329,85.43,38.322522,85.44,8.13913,85.13,1.80,85.12,1.05,85.11,14.91,85.10,1.13,85.09,19.81,85.08,12.99,85.07,8.05,85.06,1.14,85.05,14.89,85.04,26.94,85.14,1.52,85.15,0.89,85.16,1.58,85.17,1.78,85.18,8.93,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.58,85.23,1.88,0.00005,1774152000000
4,3,371,85.35,85.26,-0.1054,1774137686000,85.33,0.5845,85.32,3.2565,85.31,64.262681,85.3,440.668038,85.29,0.2565,85.27,0.169092,85.26,17.551609,85.25,11.566993,85.24,69.20366,85.23,13.725201,85.35,1.122,85.36,1.122,85.37,1.122,85.38,1.8259,85.39,8.396313,85.4,41.057288,85.41,15.13923,85.42,23.789041,85.43,38.322522,85.44,7.178507,85.13,1.80,85.12,1.05,85.11,14.91,85.10,8.21,85.09,19.81,85.08,12.99,85.07,8.05,85.06,2.21,85.05,15.09,85.04,26.94,85.14,0.92,85.15,0.89,85.16,1.58,85.17,1.78,85.18,8.93,85.19,1.98,85.20,21.45,85.21,9.06,85.22,1.65,85.23,1.88,0.00005,1774152000000
4,3,371,85.35,85.26,-0.1054,1774137687000,85.33,0.5845,85.32,0.2565,85.31,64.262681,85.3,440.668038,85.29,0.2565,85.27,0.156317,85.26,17.808109,85.25,11.566993,85.24,75.052981,85.23,7.87588,85.35,1.122,85.36,1.122,85.37,1.122,85.38,1.8259,85.39,8.396313,85.4,6.012606,85.41,18.13923,85.42,31.748211,85.43,38.322522,85.44,13.038482,85.14,1.78,85.13,2.40,85.12,1.05,85.11,14.91,85.10,8.34,85.09,19.81,85.08,13.19,85.07,8.25,85.06,2.21,85.05,15.09,85.17,0.80,85.18,8.73,85.19,1.78,85.20,2.63,85.21,8.96,85.22,1.65,85.23,1.98,85.24,8.85,85.25,26.56,85.26,15.67,0.00005,1774152000000
