spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,1,22,0.091199,0.0924200,1.3388,1774138777000,0.090689,861.35,0.090688,11.2,0.090585,500,0.090584,11.21,0.090481,500,0.09048,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090216,500,0.0912,2486.2,0.091201,500,0.091208,3085.69,0.091236,3151.67,0.091264,3085.69,0.091374,3085.69,0.091382,3151.67,0.091633,545.65,0.091634,280.82,0.091644,347.87,0.0924200,154,0.0924100,131,0.0924000,266,0.0923900,488,0.0923700,354,0.0923600,540,0.0923500,224,0.0923400,250,0.0923300,363,0.0923200,1325,0.0924900,1178,0.0925000,81,0.0925100,350,0.0925200,544,0.0925400,439,0.0925500,58,0.0925600,2121,0.0925700,421,0.0925800,539,0.0925900,423,0.00005000,1774152000000
8,1,22,0.091196,0.0924200,1.3422,1774138778000,0.090689,861.35,0.090688,11.2,0.090585,500,0.090584,11.21,0.090481,500,0.09048,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090216,500,0.091197,367.29,0.091198,1964.3,0.091208,3085.69,0.091236,3151.67,0.091264,3085.69,0.091374,3085.69,0.091382,3151.67,0.091633,545.65,0.091634,280.82,0.091644,347.87,0.0924200,75,0.0924100,52,0.0924000,266,0.0923900,488,0.0923800,126,0.0923700,354,0.0923600,540,0.0923500,224,0.0923400,250,0.0923300,363,0.0924500,60,0.0924800,242,0.0924900,1178,0.0925000,81,0.0925100,350,0.0925200,488,0.0925400,439,0.0925500,356,0.0925600,2121,0.0925700,421,0.00005000,1774152000000
8,1,22,0.091195,0.0924200,1.3433,1774138779000,0.090689,861.35,0.090688,11.2,0.090585,500,0.090584,11.21,0.090481,500,0.09048,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090216,500,0.091194,367.29,0.091195,1964.3,0.091196,521.87,0.091208,3085.69,0.091236,3151.67,0.091264,3085.69,0.091374,3085.69,0.091382,3151.67,0.091633,545.65,0.091634,280.82,0.0924200,70,0.0924100,52,0.0924000,266,0.0923900,488,0.0923800,126,0.0923700,354,0.0923600,540,0.0923500,224,0.0923400,250,0.0923300,363,0.0924500,60,0.0924800,242,0.0924900,1234,0.0925000,81,0.0925100,350,0.0925200,488,0.0925400,439,0.0925500,356,0.0925600,2121,0.0925700,421,0.00005000,1774152000000
8,1,22,0.091193,0.0924700,1.4003,1774138780000,0.09069,1207.23,0.090689,861.35,0.090688,11.2,0.090585,500,0.090584,11.21,0.090481,500,0.090258,500,0.090257,3085.69,0.090216,500,0.090215,3151.67,0.091193,1964.3,0.091195,1964.3,0.091208,3085.69,0.091263,521.84,0.091264,3085.69,0.091374,3085.69,0.091382,3151.67,0.091528,3151.67,0.091633,545.65,0.091701,784.75,0.0924700,432,0.0924600,354,0.0924500,489,0.0924400,544,0.0924300,1136,0.0924200,500,0.0924100,52,0.0924000,322,0.0923900,432,0.0923700,354,0.0925700,421,0.0925900,423,0.0926000,450,0.0926100,2909,0.0926200,540,0.0926300,361,0.0926500,365,0.0926600,597,0.0926700,432,0.0926800,1502,0.00005000,1774152000000
8,1,22,0.091208,0.0925300,1.4494,1774138782000,0.090793,861.35,0.090792,11.18,0.090688,11.2,0.090585,500,0.090584,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090216,500,0.090215,3151.67,0.091193,1964.3,0.091208,3085.69,0.091262,522.64,0.091263,367.29,0.091264,3085.69,0.091374,3085.69,0.091382,3151.67,0.091528,3151.67,0.091633,545.65,0.091701,784.75,0.0925300,52,0.0925000,194,0.0924900,159,0.0924800,877,0.0924700,490,0.0924600,354,0.0924500,489,0.0924400,488,0.0924300,2227,0.0924200,432,0.0925700,328,0.0925900,1310,0.0926000,450,0.0926100,56,0.0926200,811,0.0926500,365,0.0926600,597,0.0926700,432,0.0926800,423,0.0926900,1091,0.00005000,1774152000000
8,1,22,0.091263,0.0925500,1.4102,1774138784000,0.090793,861.35,0.090792,11.18,0.090688,11.2,0.090585,500,0.090584,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090216,500,0.090215,3151.67,0.091207,1964.3,0.091263,1964.3,0.091264,3085.69,0.091373,367.29,0.091374,3085.69,0.091382,3151.67,0.091528,3151.67,0.091633,545.65,0.091701,784.75,0.091764,2742.78,0.0925500,11,0.0925400,204,0.0925300,138,0.0925200,345,0.0925100,354,0.0925000,782,0.0924900,115,0.0924800,781,0.0924700,490,0.0924500,354,0.0926000,57,0.0926200,242,0.0926300,354,0.0926400,1111,0.0926500,905,0.0926600,58,0.0926700,354,0.0926800,855,0.0926900,1091,0.0927000,464,0.00005000,1774152000000
8,1,22,0.091372,0.0925500,1.2892,1774138785000,0.090793,861.35,0.090792,11.18,0.090688,11.2,0.090585,500,0.090584,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090216,500,0.090215,3151.67,0.091263,1964.3,0.091264,3085.69,0.091372,522.75,0.091373,367.29,0.091374,3085.69,0.091382,3151.67,0.091528,3151.67,0.091633,545.65,0.091701,784.75,0.091764,2742.78,0.0925500,7,0.0925200,56,0.0925100,354,0.0925000,242,0.0924900,115,0.0924800,781,0.0924700,490,0.0924500,354,0.0924400,354,0.0924300,1985,0.0925700,57,0.0925900,312,0.0926000,136,0.0926100,405,0.0926200,242,0.0926300,486,0.0926400,1055,0.0926500,1447,0.0926600,58,0.0926700,625,0.00005000,1774152000000
8,1,22,0.09137,0.0925700,1.3133,1774138786000,0.090793,861.35,0.090792,11.18,0.090688,11.2,0.090585,500,0.090584,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090217,5044.68,0.090216,500,0.091371,1964.3,0.091373,367.29,0.091374,3085.69,0.091382,3151.67,0.091484,3085.69,0.091528,3151.67,0.091633,545.65,0.091765,347.3,0.091825,280.27,0.09187,266.98,0.0925700,347,0.0925600,1320,0.0925500,36206,0.0925400,407,0.0925300,98,0.0925100,354,0.0925000,242,0.0924900,655,0.0924800,781,0.0924700,490,0.0926400,698,0.0926500,365,0.0926600,58,0.0926700,354,0.0926800,479,0.0926900,270,0.0927000,464,0.0927100,540,0.0927200,409,0.0927300,58,0.00005000,1774152000000
8,1,22,0.091366,0.0925700,1.3178,1774138787000,0.090793,861.35,0.090792,11.18,0.090688,11.2,0.090585,500,0.090584,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090217,5044.68,0.090216,500,0.091367,367.29,0.091368,1964.3,0.091374,3085.69,0.091382,3151.67,0.091484,3085.69,0.091528,3151.67,0.091633,545.65,0.091765,347.3,0.091825,280.27,0.09187,266.98,0.0925700,342,0.0925600,1320,0.0925500,39214,0.0925400,407,0.0925300,98,0.0925100,354,0.0925000,242,0.0924900,655,0.0924800,781,0.0924700,490,0.0926300,65,0.0926400,698,0.0926500,430,0.0926600,58,0.0926700,410,0.0926800,423,0.0927000,464,0.0927100,540,0.0927200,409,0.0927300,58,0.00005000,1774152000000
8,1,22,0.091363,0.0925600,1.3102,1774138788000,0.090793,861.35,0.090792,11.18,0.090688,11.2,0.090585,500,0.090584,11.21,0.090259,1207.23,0.090258,500,0.090257,3085.69,0.090217,5044.68,0.090216,500,0.091363,891.26,0.091364,1964.3,0.091374,3085.69,0.091382,3151.67,0.091484,3085.69,0.091528,3151.67,0.091633,545.65,0.091765,347.3,0.091825,280.27,0.09187,266.98,0.0924100,349,0.0923700,2180,0.0923500,407,0.0923400,244,0.0923200,540,0.0923100,2109,0.0923000,3979,0.0922900,1015,0.0922700,500,0.0922500,926,0.0925100,349,0.0925300,432,0.0925400,1113,0.0925500,301,0.0925600,1932,0.0925700,911,0.0925800,301,0.0925900,301,0.0926000,301,0.0926100,650,0.00005000,1774152000000
