spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,3,439,0.0442,0.04445,0.5656,1774138777000,0.0439,230.19,0.0438,4119.09,0.0437,5211.61,0.0436,14264.92,0.0435,2697.67,0.0434,11520.22,0.0433,22343.77,0.0432,3867.85,0.0431,608.96,0.043,1245.64,0.0442,178.55,0.0443,1429.86,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,1630.4,0.0449,8623.95,0.045,8700.88,0.0451,4897,0.044450,655,0.044387,2253,0.044386,226,0.044385,673,0.044384,673,0.044333,860,0.044332,1907,0.044330,10,0.044321,226,0.044320,1907,0.044610,2242,0.044611,645,0.044623,673,0.044664,1750,0.044665,4698,0.044710,1038,0.044780,11,0.044809,322,0.044869,1857,0.044876,1907,0.00005,1774152000000
8,3,439,0.0442,0.044456,0.5792,1774138780000,0.044,260.16,0.0439,230.19,0.0438,4119.09,0.0437,5211.61,0.0436,14264.92,0.0435,2697.67,0.0434,14197.97,0.0433,17596.36,0.0432,3867.85,0.0431,608.96,0.0442,178.55,0.0443,1429.86,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,223.23,0.0449,8446.25,0.045,12181.27,0.0451,3677,0.044450,655,0.044389,2253,0.044388,226,0.044385,673,0.044384,673,0.044342,876,0.044341,933,0.044332,1907,0.044330,10,0.044321,226,0.044622,2241,0.044623,673,0.044664,1750,0.044665,4698,0.044780,11,0.044809,322,0.044876,1907,0.044910,10,0.044927,1855,0.044945,11,0.00005,1774152000000
8,3,439,0.0442,0.044434,0.5294,1774138829000,0.0439,230.19,0.0438,4119.09,0.0437,5572.15,0.0436,13535.7,0.0435,2697.67,0.0434,14922.27,0.0433,17596.36,0.0432,3867.85,0.0431,608.96,0.043,1245.64,0.0442,178.55,0.0443,1429.86,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,999.23,0.0449,3266.91,0.045,9695.84,0.0451,8513.29,0.044513,6,0.044353,2255,0.044352,226,0.044351,225,0.044348,226,0.044346,567,0.044345,673,0.044340,673,0.044330,10,0.044285,11,0.044525,2234,0.044615,11,0.044635,567,0.044636,1284,0.044664,226,0.044665,4698,0.044780,11,0.044809,322,0.044865,673,0.044866,2246,0.00005,1774152000000
8,3,439,0.0443,0.044509,0.4718,1774138860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044420,2137,0.044408,225,0.044407,1572,0.044373,226,0.044330,10,0.044302,1004,0.044287,633,0.044286,226,0.044285,11,0.044267,673,0.044499,555,0.044547,2245,0.044615,11,0.044625,860,0.044626,1098,0.044772,329,0.044780,11,0.044806,8938,0.044807,1346,0.044809,46,0.00005,1774152000000
8,3,439,0.0443,0.044723,0.9549,1774138913000,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,6678.05,0.0436,12427.28,0.0435,2697.67,0.0434,15922.03,0.0433,17596.36,0.0432,3867.85,0.0443,1429.86,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,6781.46,0.045,14056.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044285,11,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.044744,1.0023,1774138914938,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,6678.05,0.0436,12427.28,0.0435,2697.67,0.0434,15922.03,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,14056.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.044744,1.0023,1774138915238,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,15922.03,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,14056.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.044744,1.0023,1774138915538,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,15922.03,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,15814.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.04461,0.6998,1774138915839,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,15922.03,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,15814.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.044744,1.0023,1774138916140,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,12966.11,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,15814.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.044744,1.0023,1774138916440,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,12966.11,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,14056.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.044744,1.0023,1774138916741,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,12966.11,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,14056.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.044744,1.0023,1774138917042,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,12053.11,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,15814.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.04461,0.6998,1774138917343,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,12053.11,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,15814.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
8,3,439,0.0443,0.04461,0.6998,1774138917643,0.0441,266.38,0.044,253.29,0.0439,230.19,0.0438,4119.09,0.0437,9602.52,0.0436,12427.28,0.0435,2697.67,0.0434,12053.11,0.0433,17596.36,0.0432,3867.85,0.0443,1106.55,0.0444,841.77,0.0445,9102.48,0.0446,61.15,0.0447,231.23,0.0448,960.2,0.0449,1407.17,0.045,15814.68,0.0451,3677,0.0452,3578.45,0.044618,911,0.044584,272,0.044515,124,0.044492,1123,0.044482,226,0.044464,456,0.044450,11,0.044431,22,0.044364,22,0.044330,10,0.044652,207,0.044723,2236,0.044751,517,0.044761,224,0.044769,673,0.044772,329,0.044778,1037,0.044780,11,0.044809,46,0.044852,22,0.00005,1774152000000
