spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,3,550,0.005385,0.005791,7.5395,1774138775000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
6,3,550,0.005385,0.005791,7.5395,1774138776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005791,9251,0.005790,6476,0.005788,12481,0.005787,93552,0.005786,39314,0.005785,171681,0.005784,113768,0.005783,34118,0.005782,35060,0.005781,34308,0.005792,90,0.005794,950,0.005795,14850,0.005796,11572,0.005797,43730,0.005798,127308,0.005799,193854,0.005800,30768,0.005801,42555,0.005802,34455,,
6,3,550,0.005385,0.005791,7.5395,1774138778000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
6,3,550,0.005384,0.005791,7.5594,1774138782000,0.005382,7665,0.005381,5619,0.00538,8386,0.005379,7521,0.005378,8190,0.005377,9534,0.005376,19246,0.005375,23802,0.005374,16733,0.005373,11733,0.005384,6167,0.005385,182202,0.005386,53731,0.005387,1443,0.0054,6399,0.005401,13589,0.005409,11733,0.005411,27673,0.005414,11733,0.005418,610,0.005791,9251,0.005790,6476,0.005788,12481,0.005787,93552,0.005786,39314,0.005785,171681,0.005784,113768,0.005783,34118,0.005782,35060,0.005781,34308,0.005792,90,0.005794,950,0.005795,14850,0.005796,11572,0.005797,43730,0.005798,127308,0.005799,193854,0.005800,22328,0.005801,42555,0.005802,34455,-0.00082639,1774152000000
6,3,550,0.005384,0.005791,7.5594,1774138790000,0.005382,6118,0.005381,5619,0.00538,8386,0.005379,7521,0.005378,8190,0.005377,9534,0.005376,19246,0.005375,22440,0.005374,16733,0.005373,11733,0.005384,15819,0.005385,214484,0.005386,53731,0.005387,1443,0.0054,6399,0.005401,13589,0.005409,11733,0.005411,27673,0.005414,11733,0.005418,610,0.005791,9251,0.005790,3558,0.005788,12481,0.005787,93552,0.005786,39314,0.005785,171681,0.005784,113768,0.005783,38338,0.005782,35060,0.005781,34308,0.005792,131,0.005794,950,0.005795,14850,0.005796,11572,0.005797,43730,0.005798,127308,0.005799,193854,0.005800,30768,0.005801,42555,0.005802,34455,,
6,3,550,0.005383,0.005791,7.5794,1774138792000,0.005381,5619,0.00538,8386,0.005379,7521,0.005378,8190,0.005377,9534,0.005376,19246,0.005375,22440,0.005374,24176,0.005373,11733,0.005372,5000,0.005383,6093,0.005384,7158,0.005385,214484,0.005386,53731,0.005387,1443,0.0054,6399,0.005401,13589,0.005409,11733,0.005411,27673,0.005414,11733,0.005791,9251,0.005790,3558,0.005788,12481,0.005787,93552,0.005786,39314,0.005785,171681,0.005784,113768,0.005783,38338,0.005782,35060,0.005781,34308,0.005792,131,0.005794,950,0.005795,14850,0.005796,11572,0.005797,43730,0.005798,127308,0.005799,193854,0.005800,30768,0.005801,42555,0.005802,34455,,
6,3,550,0.005382,0.005788,7.5437,1774138794000,0.005381,5619,0.00538,8386,0.005379,7521,0.005378,7513,0.005377,8190,0.005376,7513,0.005375,22440,0.005374,24176,0.005373,11733,0.005372,5000,0.005383,6093,0.005384,7158,0.005385,214484,0.005386,53731,0.005387,1443,0.0054,6399,0.005401,13589,0.005409,11733,0.005411,27673,0.005414,11733,0.005791,9251,0.005790,3558,0.005788,12481,0.005787,93552,0.005786,39314,0.005785,171681,0.005784,113768,0.005783,38338,0.005782,35060,0.005781,34308,0.005792,1389,0.005794,950,0.005795,14850,0.005796,11572,0.005797,43730,0.005798,127308,0.005799,193854,0.005800,30768,0.005801,42555,0.005802,34455,-0.00082639,1774152000000
6,3,550,0.005382,0.005789,7.5622,1774138795000,0.00538,6335,0.005379,7521,0.005378,7513,0.005377,7513,0.005376,8190,0.005375,22440,0.005374,24176,0.005373,18949,0.005372,5000,0.005371,11733,0.005382,14500,0.005383,6093,0.005384,7158,0.005385,214484,0.005386,53731,0.005387,1443,0.0054,6399,0.005401,13589,0.005409,11733,0.005411,27673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
6,3,550,0.005382,0.005789,7.5622,1774138797000,0.005379,7521,0.005378,7513,0.005377,7513,0.005376,8190,0.005375,22440,0.005374,24176,0.005373,18949,0.005372,10544,0.005371,11733,0.005363,5000,0.005382,14500,0.005383,6093,0.005384,7158,0.005385,214484,0.005386,53731,0.005387,1443,0.0054,6399,0.005401,13589,0.005409,11733,0.005411,27673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
6,3,550,0.00538,0.005788,7.5836,1774138798000,0.005379,7521,0.005378,7513,0.005377,7513,0.005376,8190,0.005375,22440,0.005374,24176,0.005373,18949,0.005372,10544,0.005371,11733,0.005363,5000,0.005382,5839,0.005383,6093,0.005384,7158,0.005385,214484,0.005386,53731,0.005387,1443,0.0054,6399,0.005401,13589,0.005409,11733,0.005411,27673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
6,3,550,0.005379,0.005788,7.6036,1774138800000,0.005378,7268,0.005377,7513,0.005376,7513,0.005375,6384,0.005374,24176,0.005373,18949,0.005372,10544,0.005371,18902,0.005363,5000,0.005362,11733,0.00538,5786,0.005381,7729,0.005382,5839,0.005383,6093,0.005384,7158,0.005385,214484,0.005386,47752,0.005387,1443,0.0054,6399,0.005401,13589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
6,3,550,0.005377,0.005782,7.5321,1774138801000,0.005375,7739,0.005374,7443,0.005373,7216,0.005372,6221,0.005371,18902,0.00537,6725,0.005369,19472,0.005368,11733,0.005363,5000,0.005362,11733,0.005378,16400,0.005379,5431,0.00538,5786,0.005381,7729,0.005382,5839,0.005383,17826,0.005384,18891,0.005385,102792,0.005386,34804,0.005387,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
6,3,550,0.005376,0.005782,7.5521,1774138802000,0.005374,6607,0.005373,7216,0.005372,6221,0.005371,7169,0.00537,18458,0.005369,19472,0.005368,18720,0.005367,17668,0.005363,5000,0.005362,11733,0.005376,6976,0.005377,6118,0.005378,7739,0.005379,5431,0.00538,5786,0.005381,19462,0.005382,17572,0.005383,17826,0.005384,11733,0.005385,18978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
6,3,550,0.005377,0.005782,7.5321,1774138804000,0.005375,7322,0.005374,7778,0.005373,7216,0.005372,5544,0.005371,7846,0.00537,18458,0.005369,19472,0.005368,18720,0.005367,11733,0.005363,5000,0.005377,6118,0.005378,7739,0.005379,5431,0.00538,5786,0.005381,19462,0.005382,17572,0.005383,17826,0.005384,17487,0.005385,12922,0.005387,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082639,1774152000000
